slug,name,short_description,full_description,categories,services,eligibility,location,city,state,zip_code,counties_served,service_area,phone,website,email,hours,cost,application_process,documents_needed,languages,accessibility_notes,verified_date,featured,emergency,remote_services,free_or_low_cost,service_area_type,is_demonstration,status,published
ohio-careline-oh,Ohio CareLine,Statewide helpline serving ohio residents seeking mental health or substance use support in Statewide.,"Free confidential behavioral health support and connection to local services, available 24 hours a day.

Certification or authority: Ohio Department of Behavioral Health.

Availability note: Available 24 hours a day, 7 days a week.",Substance Use Recovery;Mental Health,Helpline;Treatment referrals;Recovery support;Mental health support,Ohio residents seeking mental health or substance use support Call directly. No referral is required.,Statewide,,OH,,,Statewide,(800) 720 9616,https://ohiocares.ohio.gov/,,"24 hours a day, 7 days a week",,Call directly. No referral is required.,,,,2026-08-02,false,true,true,true,Statewide,false,published,true
ohio-211-oh,Ohio 211,"Resource navigator serving anyone seeking housing, shelter, treatment, food, utilities, transportation, or other community services in Statewide.","Connects callers with local housing, shelter, mental health, substance use, food, financial, and reentry resources.

Certification or authority: Ohio 211 network.

Availability note: Call center and local resource availability can vary.

Additional contact: secondary phone (888) 644 6211.",Housing;Substance Use Recovery;Reentry Planning;Mental Health;Transportation,Resource navigation;Housing referrals;Community referrals;Residential reentry;Case management;Community transition;Mental health support,"Anyone seeking housing, shelter, treatment, food, utilities, transportation, or other community services Call and provide the caller's ZIP code and immediate needs.",Statewide,,OH,,,Statewide,211 | Secondary: (888) 644 6211,https://ohio211.org/,,,,Call and provide the caller's ZIP code and immediate needs.,,,,2026-08-02,false,false,true,true,Statewide,false,published,true
ohio-recovery-housing-registry-oh,Ohio Recovery Housing Registry,Recovery housing directory serving people seeking accredited recovery housing in ohio in Statewide.,"Searchable registry of accredited recovery residences, including filters for county, population, accessibility, and recovery support level.

Certification or authority: Official Ohio Department of Behavioral Health registry.

Availability note: Registry data is updated regularly, but openings must be confirmed with the residence.",Housing;Substance Use Recovery,Resource directory;Housing search;Provider contacts;Recovery housing;Peer support;Recovery accountability,People seeking accredited recovery housing in Ohio Search by location and contact each residence directly.,Statewide,,OH,,,Statewide,,https://rhsearch.mha.ohio.gov/,,,,Search by location and contact each residence directly.,,,,2026-08-02,false,false,true,true,Statewide,false,published,true
ohio-recovery-housing-oh-columbus,Ohio Recovery Housing,Recovery housing support serving people seeking help understanding certified recovery housing options in Statewide.,"Information about certified recovery residences, quality standards, and how to use the state locator.

Certification or authority: Ohio affiliate of the National Alliance for Recovery Residences.

Availability note: This organization certifies and supports residences, but does not operate a single statewide intake bed line.",Housing;Substance Use Recovery,Resource directory;Housing search;Provider contacts;Recovery housing;Peer support;Recovery accountability,People seeking help understanding certified recovery housing options Call weekdays for assistance. Office visits are by appointment.,"200 East Campus View Boulevard, Suite 200, Columbus, OH 43235",Columbus,OH,43235,,Statewide,(614) 453 5133,https://www.ohiorecoveryhousing.org/,,,,Call weekdays for assistance. Office visits are by appointment.,,,,2026-08-02,false,false,true,true,Statewide,false,published,true
oxford-house-vacancy-locator-ohio-oh,"Oxford House Vacancy Locator, Ohio","Oxford House serving adults in recovery, with houses serving men, women, and in some areas parents with children in Statewide.","Live vacancy search and online application for democratically run, self supporting, substance free Oxford Houses.

Certification or authority: Oxford House, Inc..

Availability note: Vacancies and house contact numbers change frequently. Use the live locator.

Additional contact: secondary phone (301) 587 2916.",Housing;Substance Use Recovery;Family Support,Resource directory;Housing search;Provider contacts;Oxford House;Sober living;Peer supported recovery housing,"Adults in recovery, with houses serving men, women, and in some areas parents with children Find a house with an opening, call the house contact, and arrange a resident interview.",Statewide,,OH,,,Statewide,(800) 689 6411 | Secondary: (301) 587 2916,https://www.oxfordvacancies.com/?state=OH,,,Residents share household expenses. Amounts vary by house.,"Find a house with an opening, call the house contact, and arrange a resident interview.",,,,2026-08-02,false,false,true,false,Statewide,false,published,true
ohio-drc-halfway-house-directory-oh,Ohio DRC Halfway House Directory,"Halfway house and reentry directory serving people placed through ohio corrections, parole, probation, or approved community sanctions in Statewide.","Official directory of Ohio Department of Rehabilitation and Correction licensed halfway house programs.

Certification or authority: Ohio Department of Rehabilitation and Correction.

Availability note: January 2026 directory. Contact the supervising officer or listed facility for current placement rules.",Housing;Reentry Planning,Resource directory;Housing search;Provider contacts;Residential reentry;Case management;Community transition,"People placed through Ohio corrections, parole, probation, or approved community sanctions Placement is generally coordinated through corrections, parole, probation, or an approved referring authority.",Statewide,,OH,,,Statewide,,https://dam.assets.ohio.gov/image/upload/drc.ohio.gov/Forms/HWH_DIRECTORY_REV_2026_JANUARY.pdf,,,,"Placement is generally coordinated through corrections, parole, probation, or an approved referring authority.",,,,2026-08-02,false,false,true,true,Statewide,false,published,true
talbert-house-housing-services-oh-cincinnati,Talbert House Housing Services,"Recovery and transitional housing serving men, women, adults, and families, depending on program in Brown, Butler, Hamilton, and Warren Counties.","Recovery housing, shelter housing, transitional housing, supportive housing, and permanent supportive housing.

Certification or authority: Talbert House.

Availability note: Housing options and openings vary by county and program.",Housing;Substance Use Recovery;Family Support;Transportation,Recovery housing;Peer support;Recovery accountability,"Men, women, adults, and families, depending on program Call for a housing assessment and program eligibility screening.","Brown, Butler, Hamilton, and Warren Counties",Cincinnati,OH,,Brown;Butler;Hamilton;Warren,"Brown, Butler, Hamilton, and Warren Counties",(513) 338 8596,https://www.talberthouse.org/services/housing/housing-services/,,,,Call for a housing assessment and program eligibility screening.,,,,2026-08-02,false,false,false,false,Local,false,published,true
talbert-house-access-to-services-oh-cincinnati,Talbert House Access to Services,"Treatment and housing referral serving adolescents and adults seeking addiction, mental health, housing, or court related services in Greater Cincinnati and Southwest Ohio.","Assessment, addiction treatment, crisis support, housing referrals, and court and corrections services.

Certification or authority: Talbert House.

Availability note: Call the access line for current walk in, telehealth, and residential options.

Additional contact: secondary phone (513) 281 2273; text contact Text TALBERT to 839863.",Housing;Substance Use Recovery;Reentry Planning;Mental Health,Residential reentry;Case management;Community transition,"Adolescents and adults seeking addiction, mental health, housing, or court related services Call the access line for services. The secondary number is the immediate assistance line.",Greater Cincinnati and Southwest Ohio,Cincinnati,OH,,,Greater Cincinnati and Southwest Ohio,(513) 221 4357 | Secondary: (513) 281 2273 | Text: Text TALBERT to 839863,https://www.talberthouse.org/services/addictions/addictions/,,,,Call the access line for services. The secondary number is the immediate assistance line.,,,,2026-08-02,false,false,false,false,Local,false,published,true
voa-cincinnati-residential-reentry-program-oh,VOA Cincinnati Residential Reentry Program,Halfway house and reentry serving justice involved adults referred to residential reentry in Cincinnati.,"Residential reentry, supervision, case management, and community transition support.

Certification or authority: Volunteers of America Ohio and Indiana.

Availability note: Call the facility and coordinate with the referring justice agency.",Housing;Reentry Planning;Transportation,Residential reentry;Case management;Community transition,Justice involved adults referred to residential reentry Usually requires referral or placement by a corrections or justice agency.,"115 West McMicken Avenue, Cincinnati, OH 45202",Cincinnati,OH,45202,,Cincinnati,(513) 639 3743,https://www.voaohin.org/program-directory/,,,,Usually requires referral or placement by a corrections or justice agency.,,,,2026-08-02,false,false,false,false,Local,false,published,true
voa-dayton-residential-reentry-program-oh,VOA Dayton Residential Reentry Program,Halfway house and reentry serving justice involved adults referred to residential reentry in Dayton.,"Residential reentry and structured community transition services.

Certification or authority: Volunteers of America Ohio and Indiana.

Availability note: Call or check the linked directory to confirm current openings and eligibility.",Housing;Reentry Planning;Transportation,Residential reentry;Case management;Community transition,Justice involved adults referred to residential reentry Usually requires referral or placement by a corrections or justice agency.,"1931 South Gettysburg Avenue, Dayton, OH 45417",Dayton,OH,45417,,Dayton,(937) 262 8876,https://www.voaohin.org/program-directory/,,,,Usually requires referral or placement by a corrections or justice agency.,,,,2026-08-02,false,false,false,false,Local,false,published,true
