resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
MO001,Missouri,Statewide,,Missouri DMH CSTAR Treatment Services,Public treatment access,"Missouri residents seeking substance use treatment, including women and children and adolescents",,,,https://dmh.mo.gov/behavioral-health/treatment-services,,"CSTAR assessment, outpatient, detoxification, residential support, temporary living arrangements, women-and-children services, and adolescent treatment.",Contact a CSTAR provider or regional behavioral health access point.,Medicaid and public funding may be available.,,Missouri Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://dmh.mo.gov/behavioral-health/treatment-services
MO002,Missouri,Statewide,,Missouri DMH Recovery Support Services,Recovery support,People in or seeking recovery from substance use disorders,,,,https://dmh.mo.gov/behavioral-health/treatment-services/recovery-support,,"Peer-based recovery support, housing connections, transportation, employment, and recovery community services.",Use the state provider and recovery-support directories.,State-funded recovery supports may be available.,,Missouri Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://dmh.mo.gov/behavioral-health/treatment-services/recovery-support
MO003,Missouri,Statewide,,Missouri Recovery Housing Directory,Certified recovery housing directory,Adults seeking accredited recovery residences,,,,https://dmh.mo.gov/behavioral-health/treatment-services/recovery-support,,State recovery-support information and directories for accredited recovery housing.,Use the current housing directory and contact residences directly.,Fees and state assistance vary.,,Missouri Coalition of Recovery Support Providers and Missouri DMH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://dmh.mo.gov/behavioral-health/treatment-services/recovery-support
MO004,Missouri,Statewide,,"Oxford House Vacancy Locator, Missouri",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=MO,,Live vacancy search for self-run sober homes.,Contact a house with an opening and arrange an interview.,Residents share expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-07,https://www.oxfordhouse.org/
MO005,Missouri,Statewide,,Missouri 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, employment, transportation, or community services",211,,,https://www.211helps.org/,,Statewide community-resource referral for basic needs and behavioral health.,Call 211 or search online.,Free.,,Missouri and regional United Way 211 network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.211helps.org/
MO006,Missouri,Statewide,Jefferson City,Missouri DOC Reentry Services,Reentry planning,"People preparing for release, people on supervision, and returning citizens",,,,https://doc.mo.gov/programs/reentry,,"Housing, employment, documents, health, treatment, education, family, and community transition planning.",People in custody should work with institutional reentry staff.,,,Missouri Department of Corrections,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://doc.mo.gov/programs/reentry
MO007,Missouri,Statewide,,Missouri Job Centers,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://jobs.mo.gov/jobseeker,,"Job search, resumes, training, apprenticeships, career planning, and local Job Center services.",Use the Job Center locator or create a MoJobs account.,Core job-seeker services are free.,,Missouri Department of Higher Education and Workforce Development,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://jobs.mo.gov/jobseeker
MO008,Missouri,Statewide,,Missouri Legal Services,Legal help directory,Low-income Missouri residents with civil legal problems,,,,https://www.lsmo.org/,,"Connection to regional legal-aid programs for housing, benefits, family, consumer, employment, and other civil matters.",Use the regional legal-aid finder.,Free for eligible clients.,,Missouri Legal Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.lsmo.org/
MO009,Missouri,Statewide,,Missouri Non-Driver Identification Card,Identification and documents,Missouri residents needing a non-driver ID,,,,https://dor.mo.gov/driver-license/issuance/id-requirements.html,,"Identification-card document requirements, fees, and license-office information.",Gather required documents and apply at a Missouri license office.,,,Missouri Department of Revenue,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://dor.mo.gov/driver-license/issuance/id-requirements.html
MO010,Missouri,Statewide,,Feeding Missouri Food Bank Network,Food and basic needs,People experiencing food insecurity,,,,https://feedingmissouri.org/get-help/,,Food bank and pantry locator across Missouri.,Use the food finder or call 211.,,,Feeding Missouri,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://feedingmissouri.org/get-help/
MO011,Missouri,Statewide,,Missouri 988,Mental health crisis,"Anyone experiencing a mental health, substance use, or emotional crisis",988,,Text 988,https://dmh.mo.gov/behavioral-health/988-suicide-and-crisis-lifeline,,Crisis counseling and connection to local behavioral-health crisis services.,Call or text 988.,Free and confidential.,,Missouri crisis system,"Available 24 hours a day, 7 days a week.",2026-08-07,https://dmh.mo.gov/behavioral-health/988-suicide-and-crisis-lifeline
MO012,Missouri,St. Louis area,St. Louis,Harris House Treatment and Recovery,"Private PHP, IOP, and transitional housing",Adults seeking addiction treatment and step-down support,(314) 631-4299,,,https://harrishousestl.org/,,"Detox, inpatient treatment, PHP, IOP, outpatient care, and transitional sober housing.",Call admissions for assessment and insurance verification.,"Commercial insurance, self-pay, and some subsidized transitional-housing options.",,St. Louis addiction treatment nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://harrishousestl.org/
MO013,Missouri,St. Louis area,St. Louis,Harris House Transitional Housing,Recovery housing,Adults completing treatment who need affordable sober housing,(314) 631-4299,,,https://harrishousestl.org/transitional-housing/,,Subsidized transitional sober housing with continuing recovery support.,Contact Harris House for program eligibility and vacancy.,Subsidized fees vary.,,Harris House,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://harrishousestl.org/transitional-housing/
MO014,Missouri,St. Louis region,Dittmer,Sana Lake Recovery Center,"Private residential, PHP, and IOP",Adults with addiction and co-occurring needs,(636) 944-4400,,,https://sanalake.com/,,"Residential treatment, PHP, IOP, outpatient care, peer support, and recovery services.",Call admissions for assessment and benefits verification.,Commercial insurance and self-pay.,,Joint Commission accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://sanalake.com/
MO015,Missouri,Kansas City region,Kansas City,Midwest Recovery Centers,"Private PHP, IOP, and sober living",Adults seeking addiction and co-occurring treatment,,,,https://www.midwestrecoverycenters.com/,,"Detox, residential treatment, PHP, IOP, outpatient services, mental health care, and treatment-linked sober living.",Call admissions for assessment and insurance verification.,Commercial insurance and self-pay.,,Private addiction treatment provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.midwestrecoverycenters.com/
MO016,Missouri,Eastern Missouri,Eolia,The Aviary Recovery Center Eolia,Private residential treatment,Adults with addiction and co-occurring needs,(888) 989-9505,,,https://aviaryrecoverycenter.com/,,"Residential addiction treatment, dual-diagnosis care, family programming, and continuing care.",Call admissions.,Commercial insurance and self-pay.,,Private accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://aviaryrecoverycenter.com/
MO017,Missouri,St. Louis area,Kirkwood,The Aviary Recovery Center Kirkwood Outpatient,Private IOP and outpatient,Adults seeking addiction outpatient care,(888) 989-9505,,,https://aviaryrecoverycenter.com/,,"Intensive outpatient, outpatient counseling, and continuing recovery support.",Call admissions and request the Kirkwood program.,Commercial insurance and self-pay.,,The Aviary Recovery Center,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://aviaryrecoverycenter.com/
MO018,Missouri,Kansas City area,Lee's Summit,The Aviary Recovery Center Lee's Summit Outpatient,Private IOP and outpatient,Adults seeking addiction outpatient care,(888) 989-9505,,,https://aviaryrecoverycenter.com/,,"Intensive outpatient, outpatient counseling, and continuing recovery support.",Call admissions and request the Lee's Summit location.,Commercial insurance and self-pay.,,The Aviary Recovery Center,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://aviaryrecoverycenter.com/
MO019,Missouri,Central Missouri,Boonville,Valley Hope of Boonville,Private residential and outpatient treatment,Adults age 18 and older,(660) 882-6547,,,https://valleyhope.org/locations/missouri/boonville-treatment-center/,"1415 W Ashley Rd, Boonville, MO 65233","Medically monitored detox, residential addiction treatment, outpatient programming, and family counseling.",Call admissions for assessment and insurance verification.,Insurance and self-pay.,,Accredited addiction treatment provider,"Residential services operate 24 hours a day, 7 days a week.",2026-08-07,https://valleyhope.org/locations/missouri/boonville-treatment-center/
MO020,Missouri,Springfield area,Rogersville,Synergy Recovery Center,Private women's residential treatment,Adult women with addiction and mental health needs,(417) 812-4440,,,https://synergyrecoverycenter.com/,"3955 S Farm Rd 223, Rogersville, MO 65742",Private ten-bed women's residential recovery home with addiction and mental health treatment.,Call the intake coordinator for confidential screening.,Commercial insurance and private-pay options.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://synergyrecoverycenter.com/
MO021,Missouri,St. Louis area,St. Louis,Queen of Peace Center,Women's and children's treatment and housing,"Women, pregnant or parenting women, and children affected by substance use",,,,https://qopcstl.org/,,"Women-focused treatment, medication management, individual and group therapy, family services, and housing support.",Contact Queen of Peace Center for assessment and current openings.,"Public funding, Medicaid, grants, and other assistance may be available.",,St. Louis women and family recovery provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://qopcstl.org/
MO022,Missouri,Kansas City area,Kansas City,Amethyst Place,Women's recovery supportive housing,Mothers in early recovery and their children who are experiencing homelessness or family separation,(816) 231-8782,,,https://amethystplace.org/,"2750 Tracy Avenue, Kansas City, MO 64109","Long-term furnished supportive housing, basic needs, therapeutic services, parenting, education, career, and family reunification support.",Contact the program for eligibility and housing intake.,Nonprofit supportive housing. Ask about participant costs and funding.,,Kansas City nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://amethystplace.org/
MO023,Missouri,Kansas City area,Kansas City,First Call Kansas City,Peer recovery and crisis navigation,People with substance use concerns and families,(816) 361-5900,,,https://www.firstcallkc.org/,,"Recovery support, family services, prevention, reentry-related navigation, and immediate substance-use help.",Call for support and referral.,Many services are free.,,Kansas City recovery community nonprofit,Phone support is available 24 hours a day.,2026-08-07,https://www.firstcallkc.org/
MO024,Missouri,Kansas City area,Kansas City,Healing House,Recovery housing and family support,Adults and families rebuilding after addiction,,,,https://healinghousekc.org/,,"Recovery residences, transitional housing, peer community, family support, and long-term recovery resources.",Contact Healing House for screening and vacancy.,Program fees and assistance vary.,,Kansas City recovery housing nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://healinghousekc.org/
