resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
PA001,Pennsylvania,Statewide,,PA Get Help Now,Substance use helpline,"Anyone seeking substance use treatment, recovery, or family support",(800) 662-4357,,Text (717) 216-0905,https://www.pa.gov/agencies/ddap/treatment-and-support/get-help-now,,Confidential treatment navigation and connection to local county drug and alcohol services.,Call or text directly.,Free.,,Pennsylvania Department of Drug and Alcohol Programs,"Available 24 hours a day, 7 days a week.",2026-08-03,https://www.pa.gov/agencies/ddap/treatment-and-support/get-help-now
PA002,Pennsylvania,Statewide,,PA 211,Resource navigator,"Anyone seeking housing, food, treatment, employment, legal, transportation, or community services",211,,Text ZIP code to 898211,https://www.pa211.org/,,"Statewide referrals for basic needs, shelter, health, treatment, employment, legal, and reentry resources.","Call, text, or search online.",Free.,,Pennsylvania 211,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pa211.org/
PA003,Pennsylvania,Statewide,,Pennsylvania Drug and Alcohol Facility Locator,Licensed treatment and housing directory,"People seeking licensed treatment, halfway houses, or recovery houses",,,,https://apps.ddap.pa.gov/gethelpnow/CareProvider.aspx,,"Official search for licensed drug and alcohol treatment facilities, recovery houses, and halfway houses.","Search by county and level of care, then call the provider.",,,Pennsylvania DDAP,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://apps.ddap.pa.gov/gethelpnow/CareProvider.aspx
PA004,Pennsylvania,Statewide,,Pennsylvania County Drug and Alcohol Offices,Treatment funding and assessment,"Pennsylvania residents seeking assessment, treatment funding, or local referrals",,,,https://www.pa.gov/agencies/ddap/treatment-and-support/county-drug-and-alcohol-offices,,"County-level assessment, treatment referral, funding eligibility, case management, and recovery support.",Contact the Single County Authority for the county of residence.,Public funding may be available based on eligibility.,,Pennsylvania DDAP,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pa.gov/agencies/ddap/treatment-and-support/county-drug-and-alcohol-offices
PA005,Pennsylvania,Eastern and central Pennsylvania,,Pennsylvania Alliance of Recovery Residences,Certified recovery housing directory,Adults seeking certified recovery residences,,,,https://parronline.org/,,NARR-aligned certification and directory of recovery residences.,Use the directory and contact residences directly.,,,Pennsylvania NARR affiliate,Certification does not guarantee a current vacancy.,2026-08-03,https://parronline.org/
PA006,Pennsylvania,Western Pennsylvania,Pittsburgh,WestPARR Recovery Residence Directory,Certified recovery housing directory,Adults seeking certified sober living in western Pennsylvania,(412) 760-0384,(412) 294-6042,,https://westparr.org/search-homes/,"4530 West Barlind Drive, Pittsburgh, PA 15227",Directory of independently inspected recovery residences with populations and contacts.,Search homes and call the residence or WestPARR.,,,"WestPARR, PARR, and NARR affiliate",Call to confirm certification and vacancy.,2026-08-03,https://westparr.org/search-homes/
PA007,Pennsylvania,Statewide,,"Oxford House Vacancy Locator, Pennsylvania",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=PA,,Live vacancy search for self-run sober homes.,Contact a house and arrange a resident interview.,Residents share expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
PA008,Pennsylvania,Statewide,Mechanicsburg,Pennsylvania Department of Corrections Reentry Services,Reentry planning,"People preparing to leave state custody, parolees, and returning citizens",(717) 728-2573,,,https://www.pa.gov/agencies/cor/programs/reentry,"1920 Technology Parkway, Mechanicsburg, PA 17050","Release planning, housing, employment, identification, benefits, health, treatment, and community supervision coordination.",People in custody should work with reentry staff. Community members may call for direction.,,,Pennsylvania Department of Corrections,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pa.gov/agencies/cor/programs/reentry
PA009,Pennsylvania,Statewide,,PA CareerLink,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",(877) 872-5627,,,https://www.pacareerlink.pa.gov/,,"Career centers, job search, resumes, training, apprenticeships, reentry employment support, and unemployment navigation.",Create an account or find a local CareerLink office.,Core job seeker services are free.,,Pennsylvania Department of Labor and Industry,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pacareerlink.pa.gov/
PA010,Pennsylvania,Statewide,,PALawHelp,Legal help directory,Low-income Pennsylvania residents seeking civil legal assistance,,,,https://www.palawhelp.org/,,"Legal aid directory and self-help information for housing, benefits, family, employment, criminal records, and consumer matters.",Search by county and legal issue.,Directory is free. Provider eligibility varies.,,Pennsylvania Legal Aid Network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.palawhelp.org/
PA011,Pennsylvania,Statewide,,Pennsylvania Housing Finance Agency Housing Resources,Housing assistance,"Renters, homebuyers, and people facing housing instability",(855) 827-3466,,,https://www.phfa.org/,,"Affordable rental search, housing counseling, foreclosure prevention, and housing program information.",Call or use the housing search tools.,,,Pennsylvania Housing Finance Agency,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.phfa.org/
PA012,Pennsylvania,Statewide,Harrisburg,Feeding Pennsylvania,Food and basic needs,,(717) 233-6561,,,https://www.feedingpa.org/find-assistance/,,"Regional food bank and pantry locator, SNAP outreach, and emergency food help.",Use the county food bank finder.,,,Feeding Pennsylvania,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.feedingpa.org/find-assistance/
PA013,Pennsylvania,Wernersville and statewide intake,Wernersville,Caron Pennsylvania High Intensity Outpatient Program,Private PHP and high intensity outpatient,Adults seeking highly structured addiction treatment without overnight hospitalization,(800) 854-6023,,,https://www.caron.org/partial-hospitalization-program-wernersville,"243 North Galen Hall Road, Wernersville, PA 19565","Private PHP or high-intensity outpatient treatment, co-occurring care, medical support, family programming, and step-down planning.",Call for confidential assessment and insurance verification.,Private insurance and self-pay. Financial assistance may be available.,,Caron Treatment Centers,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.caron.org/partial-hospitalization-program-wernersville
PA014,Pennsylvania,Philadelphia region,Plymouth Meeting,Caron Philadelphia Outpatient Center,Private outpatient treatment,Adults and families seeking addiction outpatient and recovery support,(484) 342-5750,,,https://www.caron.org/locations/caron-philadelphia-outpatient-center,,"Private outpatient assessment, individual and group care, family support, recovery coaching, and referrals to higher levels.",Call for assessment and insurance verification.,Commercial insurance and self-pay.,,Caron Treatment Centers,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.caron.org/locations/caron-philadelphia-outpatient-center
PA015,Pennsylvania,Bucks County,Bensalem,Livengrin Foundation Bensalem PHP and IOP,PHP and IOP treatment,Adults seeking addiction treatment and step-down care,(215) 638-5200,(800) 245-4746,,https://livengrin.org/outpatient/,"4833 Hulmeville Road, Bensalem, PA 19020","Partial hospitalization, intensive outpatient, standard outpatient, detox, residential treatment, family services, and specialty programs.",Call admissions for assessment.,Insurance and self-pay. Ask about funding.,,Pennsylvania licensed nonprofit treatment provider,Admissions is available 24 hours a day.,2026-08-03,https://livengrin.org/outpatient/
PA016,Pennsylvania,Lehigh Valley,Bethlehem,Livengrin Bethlehem Outpatient,IOP and outpatient treatment,Adults seeking addiction outpatient care,(215) 638-5200,,,https://livengrin.org/outpatient/,"31 South Commerce Way, Suite 300, Bethlehem, PA 18017","Intensive outpatient, outpatient counseling, recovery planning, and family referrals.",Call admissions.,Insurance and self-pay.,,Pennsylvania licensed provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://livengrin.org/outpatient/
PA017,Pennsylvania,Chester County and statewide intake,Devon,Recovery Centers of America at Devon Outpatient,Private PHP and IOP,Adults seeking addiction and co-occurring treatment,(844) 242-7956,,,https://recoverycentersofamerica.com/outpatient-treatment-devon-pa/,"235 West Lancaster Avenue, Devon, PA 19333","Private PHP, IOP, general outpatient, MAT, family care, inpatient treatment, and aftercare.",Call for same-day assessment and insurance verification.,Commercial insurance and self-pay.,Medication-assisted treatment available.,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://recoverycentersofamerica.com/outpatient-treatment-devon-pa/
PA018,Pennsylvania,Allegheny County and statewide intake,Monroeville,Recovery Centers of America at Monroeville Outpatient,Private PHP and IOP,Adults seeking addiction treatment in western Pennsylvania,(844) 242-7956,,,https://recoverycentersofamerica.com/locations/monroeville/outpatient-treatment/,"2380 McGinley Road, Monroeville, PA 15146","Private PHP, IOP, outpatient, MAT, family support, and co-occurring care.",Call for assessment and benefits verification.,Commercial insurance and self-pay.,Medication-assisted treatment available.,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://recoverycentersofamerica.com/locations/monroeville/outpatient-treatment/
PA019,Pennsylvania,Allegheny County,Monroeville,Recovery Centers of America Monroeville Sober Living,Private sober living linked to PHP,Adults stepping down from residential care into PHP,(844) 242-7956,,,https://recoverycentersofamerica.com/locations/monroeville/,"2380 McGinley Road, Monroeville, PA 15146",Private staffed sober living connected to PHP and IOP.,Call admissions. Placement is generally connected to RCA clinical programming.,Private insurance or self-pay depending on treatment and housing.,,Recovery Centers of America,"Confirm eligibility, current bed availability, and whether housing is bundled with treatment.",2026-08-03,https://recoverycentersofamerica.com/locations/monroeville/
PA020,Pennsylvania,Northeast Philadelphia,Philadelphia,High Focus Centers Northeast Philadelphia,Private PHP and IOP,Adults with substance use or mental health needs,(610) 644-6464,(866) 996-5543,,https://pa.highfocuscenters.com/location/philadelphia-northeast/,,"Substance use IOP, adult mental health PHP, co-occurring treatment, psychiatric care, and step-down services.",Call admissions for assessment.,Commercial insurance and some public plans. Verify.,,High Focus Centers and Pyramid Healthcare,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://pa.highfocuscenters.com/location/philadelphia-northeast/
PA021,Pennsylvania,Center City Philadelphia,Philadelphia,High Focus Centers Center City,Private PHP and IOP,"Young adults and adults with mental health, substance use, or co-occurring needs",(610) 644-6464,(866) 996-5543,,https://pa.highfocuscenters.com/location/philadelphia-center-city/,,"PHP and evening IOP, including substance use and co-occurring programming.",Call for assessment and current tracks.,Insurance coverage varies.,,High Focus Centers and Pyramid Healthcare,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://pa.highfocuscenters.com/location/philadelphia-center-city/
PA022,Pennsylvania,Chester County,Paoli,High Focus Centers Paoli,Private IOP treatment,Adults with co-occurring mental health and substance use needs,(610) 644-6464,,,https://pa.highfocuscenters.com/location/paoli/,,"Adult co-occurring IOP, mental health care, adolescent programming, and referrals.",Call for assessment.,Insurance coverage varies.,,High Focus Centers,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://pa.highfocuscenters.com/location/paoli/
PA023,Pennsylvania,Philadelphia region,King of Prussia,Blueview Recovery,Private PHP and IOP,Adults seeking addiction and co-occurring treatment,,,,https://blueviewrecovery.com/,"901 East 8th Avenue, Suite 203, King of Prussia, PA 19406","Private addiction PHP, IOP, outpatient treatment, mental health IOP, family therapy, and aftercare.",Use the contact page for assessment and insurance verification.,Commercial insurance and self-pay.,,Private addiction treatment provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://blueviewrecovery.com/
PA024,Pennsylvania,Dauphin County,Harrisburg,Pyramid Healthcare Harrisburg Outpatient,PHP and IOP treatment,Adults and adolescents seeking substance use and co-occurring outpatient care,(888) 694-9996,,,https://www.pyramid-healthcare.com/locations/pennsylvania/harrisburg,,"PHP, IOP, outpatient counseling, family services, and co-occurring care.",Call central admissions.,Accepts many insurance plans and public funding depending on eligibility.,,Pennsylvania licensed Pyramid Healthcare provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pyramid-healthcare.com/locations/pennsylvania/harrisburg
PA025,Pennsylvania,Allegheny County,Pittsburgh,Pyramid Healthcare Pittsburgh Outpatient,PHP and IOP treatment,Adults and adolescents seeking addiction outpatient care,(888) 694-9996,,,https://www.pyramid-healthcare.com/locations/,,"PHP, IOP, outpatient, MAT, and co-occurring services.",Call central admissions and request Pittsburgh outpatient.,Insurance and public funding may be available.,Medication-assisted treatment available.,Pennsylvania licensed Pyramid Healthcare provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.pyramid-healthcare.com/locations/
