resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
KY001,Kentucky,Statewide,,KY HELP Statewide Call Center,Statewide substance use helpline,"Kentuckians seeking substance use treatment, recovery support, or family guidance",(833) 859 4357,,,https://operationunite.org/programs/kyhelp-call-center/, ,"Personalized screening, treatment referrals, recovery support information, and family assistance.",Call directly and speak with a screening and referral specialist.,,,Operation UNITE and Kentucky public safety partners,Hours can change. Use the linked page for the current schedule.,2026-08-02,https://operationunite.org/programs/kyhelp-call-center/
KY002,Kentucky,Statewide,,"Find Help Now Kentucky, Recovery Housing",Recovery housing directory,People seeking treatment or recovery housing in Kentucky,(877) 318 1871,,,https://findhelpnow.org/ky/recoveryhousing, ,"Searches recovery housing by location, population, medication policy, current availability, and other needs.",Search online or call the referral line for help finding a match.,,,Kentucky Injury Prevention and Research Center,Individual facility availability can change quickly. Check the date shown on each listing.,2026-08-02,https://findhelpnow.org/ky/recoveryhousing
KY003,Kentucky,Statewide,,Kentucky 211,Resource navigator,"Anyone seeking housing, shelter, food, utilities, treatment, transportation, or community services",211,,Text ZIP code to 898211,https://kentucky211.org/, ,"Connects callers with local housing, shelter, treatment, financial, food, transportation, and reentry resources.",Call or text a ZIP code and describe the need.,,,Kentucky 211 network,Available 24 hours a day. Local program openings and eligibility vary.,2026-08-02,https://kentucky211.org/contact-211/
KY004,Kentucky,Statewide,,Kentucky Recovery Housing Network,Recovery housing directory and oversight,People seeking certified recovery housing and providers seeking certification information,(502) 782 8478,,,https://www.chfs.ky.gov/agencies/dbhdid/Pages/krhn.aspx, ,Official information and directory links for NARR certified recovery residences in Kentucky.,Use the directory or contact the state recovery housing representative.,,,Kentucky Cabinet for Health and Family Services,The certified residence list is periodically updated. Call each provider to confirm status and openings.,2026-08-02,https://www.chfs.ky.gov/agencies/dbhdid/Pages/krhn.aspx
KY005,Kentucky,Statewide,,"Oxford House Vacancy Locator, Kentucky",Oxford House,"Adults in recovery, with houses serving men, women, and in some areas parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=KY, ,"Live vacancy search and online application for self supporting, substance free Oxford Houses.","Call the listed house contact and arrange a resident interview, or apply online.",Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Use the live vacancy locator because openings and house phone numbers change frequently.,2026-08-02,https://www.oxfordhouse.org/
KY006,Kentucky,Statewide,,Kentucky DOC Recovery Kentucky Centers,Halfway house and residential recovery directory,"People with substance use disorders, people experiencing homelessness, and eligible justice involved participants",(502) 564 6490,,,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx, ,Official statewide list of Recovery Kentucky centers and halfway house programs with direct facility contacts.,"Call the individual center. Justice involved placements may require coordination with corrections, parole, or probation.",,,Kentucky Department of Corrections,The linked page lists 13 centers. Admission criteria and openings vary by center.,2026-08-02,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx
KY007,Kentucky,Campbellsville,Campbellsville,The Healing Place of Campbellsville,Recovery Kentucky residential center,"Men and adults in recovery, confirm with center",(270) 789 0176,,,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx,"105 Hiestand Farm Road, Campbellsville, KY 42718","Long term residential recovery, peer support, life skills, employment preparation, and community reintegration.","Call the center directly for screening, referral requirements, and admission criteria.",,,Kentucky Recovery Kentucky program and Kentucky Department of Corrections,"Call to confirm current bed availability, population served, and whether a referral is required.",2026-08-02,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx
KY008,Kentucky,Florence,Florence,Brighton Recovery Center for Women,Recovery Kentucky residential center,Women,(859) 282 9390,,,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx,"375 Weaver Road, Florence, KY 41042","Long term residential recovery, peer support, life skills, employment preparation, and community reintegration.","Call the center directly for screening, referral requirements, and admission criteria.",,,Kentucky Recovery Kentucky program and Kentucky Department of Corrections,"Call to confirm current bed availability, population served, and whether a referral is required.",2026-08-02,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx
KY009,Kentucky,Paducah,Paducah,Center Point Recovery Center,Recovery Kentucky residential center,"Men, confirm with center",(270) 444 3640,,,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx,"530 County Park Road, Paducah, KY 42001","Long term residential recovery, peer support, life skills, employment preparation, and community reintegration.","Call the center directly for screening, referral requirements, and admission criteria.",,,Kentucky Recovery Kentucky program and Kentucky Department of Corrections,"Call to confirm current bed availability, population served, and whether a referral is required.",2026-08-02,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx
KY010,Kentucky,Evarts,Evarts,Cumberland Hope Community,Recovery Kentucky residential center,"Women, confirm with center",(606) 837 0100,,,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx,"6050 Highway 38, Evarts, KY 40828","Long term residential recovery, peer support, life skills, employment preparation, and community reintegration.","Call the center directly for screening, referral requirements, and admission criteria.",,,Kentucky Recovery Kentucky program and Kentucky Department of Corrections,"Call to confirm current bed availability, population served, and whether a referral is required.",2026-08-02,https://corrections.ky.gov/Facilities/halfway-houses/Pages/recoverykentucky.aspx
