resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
NH001,New Hampshire,Statewide,,211 New Hampshire,Resource navigator,"Anyone seeking housing, food, treatment, legal, utility, mental health, or community services",211,(866) 444 4211,,https://211nh.org/, ,"Free confidential navigation for housing, food, utilities, mental health, health care, substance use, legal services, and other needs.",Call or search the online directory.,,,211 New Hampshire and United Way,"Available 24 hours a day, 365 days a year.",2026-08-03,https://211nh.org/
NH002,New Hampshire,Statewide,,The Doorway,Substance use access system,"People seeking substance use assessment, treatment, recovery support, or harm reduction services",211,(866) 444 4211,,https://www.thedoorway.nh.gov/, ,"Connection to regional substance use assessment, treatment, recovery support, and care coordination.","Call 211 and ask for The Doorway, or use the online location information.",,,New Hampshire Department of Health and Human Services,211 provides immediate connection 24 hours a day.,2026-08-03,https://www.thedoorway.nh.gov/
NH003,New Hampshire,Statewide,Concord,New Hampshire Partnership for Recovery Residences,Recovery housing directory,People seeking certified recovery residences,(603) 369 3679,,,https://nhprr.org/, ,"Certified recovery residence directory, quality standards, provider support, and complaint information.",Use the directory and contact each residence directly.,,,New Hampshire sanctioned recovery residence certifying body,Certification does not guarantee a current vacancy.,2026-08-03,https://nhprr.org/
NH004,New Hampshire,Statewide,,"Oxford House Vacancy Locator, New Hampshire",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=NH,,Live vacancy search and application pathway for self supporting sober homes.,Contact a house with an opening and arrange a resident interview.,Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Use the live locator because vacancies and phone numbers change.,2026-08-03,https://www.oxfordhouse.org/
NH005,New Hampshire,Statewide,,New Hampshire Legal Assistance,Legal help,Low income New Hampshire residents with civil legal problems,(800) 562 3174,,,https://www.nhla.org/, ,"Civil legal help involving housing, public benefits, domestic violence, elder law, and other priority matters.",Apply through 603 Legal Aid or call for information. Case acceptance depends on eligibility and capacity.,Free for eligible clients.,,New Hampshire nonprofit legal aid provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.nhla.org/
NH006,New Hampshire,Statewide,,603 Legal Aid,Legal intake and referral,New Hampshire residents seeking civil legal assistance,(800) 639 5290,,,https://www.603legalaid.org/, ,"Statewide legal aid intake, brief advice, referrals, and connections to New Hampshire Legal Assistance and volunteer lawyers.",Call or apply online.,Free for eligible clients.,,New Hampshire legal services intake organization,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.603legalaid.org/
NH007,New Hampshire,Statewide,Bedford,New Hampshire Housing,Housing assistance,"Renters, homebuyers, and people seeking affordable housing or homelessness resources",(603) 472 8623,,,https://www.nhhfa.org/,"32 Constitution Drive, Bedford, NH 03110","Affordable rental search, rental assistance information, homebuyer help, housing research, and homelessness resources.",Call or use the program and property search tools.,,,New Hampshire Housing Finance Authority,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.nhhfa.org/
NH008,New Hampshire,Statewide,Concord,New Hampshire Employment Security,Employment and training,"Job seekers, unemployed workers, veterans, youth, and employers",(603) 224 3311,,,https://www.nhes.nh.gov/,"45 South Fruit Street, Concord, NH 03301","Job search, unemployment services, career centers, labor market information, training referrals, and veteran services.",Call or locate a local NH Works office.,,,New Hampshire Employment Security,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.nhes.nh.gov/
NH009,New Hampshire,Statewide,Manchester,New Hampshire Food Bank,Food and basic needs,People experiencing food insecurity,(603) 669 9725,(877) 347 7627,,https://nhfoodbank.org/,"700 East Industrial Park Drive, Manchester, NH 03109","Food pantry locator, statewide food distribution network, SNAP outreach, and nutrition support.",Use the agency map or call. The secondary number is SNAP Outreach.,,,New Hampshire Food Bank and Feeding America,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://nhfoodbank.org/
NH010,New Hampshire,Statewide,,New Hampshire Rapid Response Access Point,Mental health crisis,Anyone experiencing a mental health or substance related crisis,(833) 710 6477,,,https://www.nh988.com/, ,"Behavioral health crisis assessment, phone support, mobile crisis connection, and referrals.",Call directly. Call or text 988 for the national crisis line.,Free confidential crisis support.,,New Hampshire behavioral health crisis system,"Available 24 hours a day, 7 days a week.",2026-08-03,https://www.nh988.com/
