resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
NY001,New York,Statewide,,New York State HOPEline,Substance use and gambling helpline,"Anyone seeking addiction treatment, recovery, gambling services, or family support",(877) 846-7369,,Text HOPENY to 467369,https://oasas.ny.gov/hopeline,,"Confidential treatment navigation, crisis support, and referrals across New York.",Call or text directly.,Free.,,New York State Office of Addiction Services and Supports,"Available 24 hours a day, 7 days a week.",2026-08-03,https://oasas.ny.gov/hopeline
NY002,New York,Statewide,,OASAS Treatment Provider and Program Search,Licensed treatment directory,People seeking licensed addiction treatment,,,,https://oasas.ny.gov/provider-directory,,"Search licensed detox, residential, outpatient, opioid treatment, and recovery programs.","Search by location and service, then call the provider.",,,New York State OASAS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://oasas.ny.gov/provider-directory
NY003,New York,Statewide,,OASAS Treatment Availability Dashboard,Live treatment availability,People seeking open addiction treatment slots,,,,https://findaddictiontreatment.ny.gov/,,"Search current treatment availability by level of care, location, and population.",Use the search and contact the provider directly.,,,New York State OASAS,Availability changes quickly. Confirm by phone.,2026-08-03,https://findaddictiontreatment.ny.gov/
NY004,New York,Statewide,,OASAS Certified Recovery Residences,Certified recovery housing directory,Adults seeking state-certified recovery residences,,,,https://oasas.ny.gov/certified-recovery-residences,,"Official information and listings for certified, non-clinical recovery residences.",Review current certified residences and contact providers directly.,,,New York State OASAS,New York's certification system is expanding. Confirm certification and openings.,2026-08-03,https://oasas.ny.gov/certified-recovery-residences
NY005,New York,Statewide,,211 New York Reentry Services,Reentry resource navigator,"Returning citizens and families seeking housing, employment, benefits, mental health, or treatment",211,,,https://www.211newyork.org/reentry,,"County reentry directories and 24-hour navigation for housing, benefits, work, crisis, mental health, and treatment.",Call 211 or select a county guide.,Free.,,211 New York State,"A 211 specialist is available 24 hours a day, 7 days a week.",2026-08-03,https://www.211newyork.org/reentry
NY006,New York,Statewide,,"Oxford House Vacancy Locator, New York",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=NY,,"Live vacancy search for self-run, self-supported sober homes.","Find an opening, contact the house, and arrange a resident interview.",Residents share house expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
NY007,New York,Statewide,Albany,New York State DOCCS Reentry Services,Reentry planning,"People preparing to leave state custody, parolees, and returning citizens",(518) 457-8126,,,https://doccs.ny.gov/re-entry-services,"1220 Washington Avenue, Albany, NY 12226","Release planning, identification, housing, health care, benefits, employment, treatment, and community supervision support.",People in custody should work with Offender Rehabilitation Coordinators. Community members may call DOCCS.,,,New York State Department of Corrections and Community Supervision,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://doccs.ny.gov/re-entry-services
NY008,New York,Statewide,,New York State Department of Labor Services for Justice-Involved Individuals,Employment and training,Justice-involved job seekers and returning citizens,(888) 469-7365,,,https://dol.ny.gov/services-justice-involved-individuals,,"Career center services, job search, bonding, tax credit information, resumes, training, and employer connections.",Call or visit a New York State Career Center.,Free.,,New York State Department of Labor,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dol.ny.gov/services-justice-involved-individuals
NY009,New York,Statewide,,New York Legal Services Finder,Legal help directory,New York residents seeking civil legal assistance,,,,https://www.lawhelpny.org/,,"Search legal aid by county and issue, including housing, benefits, family, employment, and reentry barriers.","Search by ZIP code and legal issue, then contact the provider.",Directory is free. Provider eligibility varies.,,New York legal services network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.lawhelpny.org/
NY010,New York,Statewide,,OASAS Permanent Supportive Housing Providers,Recovery supportive housing,Homeless or at-risk individuals and families affected by addiction,,,,https://oasas.ny.gov/recovery/connect-permanent-supportive-housing,,"Rental subsidies, case management, vocational and educational counseling, and recovery support.",Contact local social services or NYC HRA/DSS and ask about OASAS housing providers.,Participants generally contribute a portion of income or shelter allowance.,,New York State OASAS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://oasas.ny.gov/recovery/connect-permanent-supportive-housing
