resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
SC001,South Carolina,Statewide,,South Carolina 211,Resource navigator,"Anyone seeking housing, food, treatment, employment, legal, transportation, or community services",211,(866) 892-9211,,https://www.sc211.org/, ,"Free confidential statewide referrals for housing, food, health, treatment, employment, legal, and basic needs.",Call or search online.,Free.,,South Carolina 211,"Available 24 hours a day, 7 days a week, 365 days a year.",2026-08-03,https://www.sc211.org/
SC002,South Carolina,Statewide,,BHDD Office of Substance Use Services Local Providers,Public treatment access,"South Carolina residents seeking assessment, outpatient, IOP, detox, residential, or opioid treatment",,,,https://www.daodas.sc.gov/services/treatment/local-providers/, ,"County and regional state-contracted treatment providers, including outpatient, inpatient, and opioid services.",Use the provider map and contact the county alcohol and drug authority.,Assessment may be free depending on financial circumstances. Public funding may be available.,,South Carolina BHDD Office of Substance Use Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.daodas.sc.gov/services/treatment/local-providers/
SC003,South Carolina,Statewide,,South Carolina Licensed Substance Use Facility Finder,Licensed treatment directory,"People seeking licensed outpatient, residential, detox, or opioid treatment",,,,https://dph.sc.gov/professionals/healthcare-quality/licensed-facilities-professionals/facilities-chemically-dependent, ,"Official state facility search for outpatient, residential, detoxification, and narcotic treatment programs.",Use the facility map and call programs directly.,,,South Carolina Department of Public Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dph.sc.gov/professionals/healthcare-quality/licensed-facilities-professionals/facilities-chemically-dependent
SC004,South Carolina,Statewide,,SCARR Certified Recovery Residence Directory,Certified recovery housing directory,Adults seeking certified recovery residences,,,,https://scarronline.org/certified-listings-2/, ,"Search certified recovery residences by location, population, and MAT policy.",Contact residences directly for screening and openings.,,,South Carolina Alliance for Recovery Residences,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://scarronline.org/certified-listings-2/
SC005,South Carolina,Statewide,,"Oxford House Vacancy Locator, South Carolina",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=SC, ,Live vacancy search for self-run sober homes.,Contact a house with an opening and arrange an interview.,Residents share house expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
SC006,South Carolina,Statewide,Columbia,South Carolina Department of Corrections Reentry Services,Reentry planning,People preparing for release and returning citizens,(803) 896-8500,,,https://doc.sc.gov/programs,"P.O. Box 21787, Columbia, SC 29210","Identification, benefits, housing preparation, employment, education, treatment, and community reintegration.",People in custody should work with institutional reentry staff.,,,South Carolina Department of Corrections,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://doc.sc.gov/programs
SC007,South Carolina,Statewide,,SC Works Centers,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://scworks.org/about-us/statewide-centers, ,"Job search, resumes, training, unemployment navigation, resource rooms, and employer connections.",Find the nearest SC Works Center.,Core job-seeker services are free.,,South Carolina workforce system,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://scworks.org/about-us/statewide-centers
SC008,South Carolina,Statewide,,South Carolina Legal Services,Legal help,Low-income South Carolina residents with civil legal problems,(888) 346-5592,,,https://sclegal.org/, ,"Civil legal aid involving housing, benefits, family, consumer, employment, and other priority matters.",Call intake or apply online.,Free for eligible clients.,,Legal Services Corporation-funded nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://sclegal.org/
SC009,South Carolina,Statewide,,South Carolina DMV Identification Card,Identification and documents,(803) 896-5000,,,,https://www.scdmvonline.com/Driver-Services/Identification-Cards, ,"State ID application requirements, fees, renewals, replacements, and DMV locations.",Review proof requirements and apply at an SCDMV branch.,,,South Carolina Department of Motor Vehicles,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.scdmvonline.com/Driver-Services/Identification-Cards
SC010,South Carolina,Statewide,,Feeding the Carolinas South Carolina Food Bank Network,Food and basic needs,,,,,https://feedingthecarolinas.org/find-food/, ,Regional food bank and pantry locator covering South Carolina.,Use the finder or call SC 211.,,,Feeding the Carolinas,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://feedingthecarolinas.org/find-food/
SC011,South Carolina,Charleston and statewide virtual care,Charleston,Lantana Recovery Charleston PHP and IOP,Private PHP and IOP,Adults age 18 and older with addiction and dual-diagnosis needs,(843) 281-7964,(866) 997-2870,,https://lantanarecovery.com/south-carolina/charleston-sc/,"65 Gadsden Street, Charleston, SC 29401","Private PHP, hybrid IOP, outpatient detox, MAT, psychiatric medication management, family services, and sober living.",Call for an ASAM-based pre-assessment and insurance verification.,In-network with major commercial insurance.,MAT and MOUD available.,Joint Commission accredited and South Carolina licensed,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://lantanarecovery.com/south-carolina/charleston-sc/
SC012,South Carolina,Charleston area,Charleston,Lantana Living,Private certified sober living,"Men, women, and veterans participating in Lantana treatment",(843) 281-7964,(866) 997-2870,,https://lantanarecovery.com/, ,"Staffed sober living connected to PHP and IOP, structured activities, clinical and peer support.",Call admissions. Housing is designed for participants in Lantana programming.,Private-pay and treatment-linked. Verify housing charges.,Accepts some forms of MAT.,SCARR or CARR-certified recovery residence,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://lantanarecovery.com/
