resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
RI001,Rhode Island,Statewide,,United Way 211 Rhode Island,Resource navigator,"Anyone seeking housing, shelter, food, treatment, employment, transportation, legal, or community services",211,(800) 367-2700,,https://www.unitedwayri.org/get-help/2-1-1/, ,"Statewide information and referral for basic needs, housing, behavioral health, legal help, employment, and other services.",Call 211 or search the online directory.,Free.,,United Way of Rhode Island,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.unitedwayri.org/get-help/2-1-1/
RI002,Rhode Island,Statewide,,BH Link and 942-STOP,Behavioral health and recovery access line,"Rhode Island residents seeking mental health, substance use, detox, treatment, or recovery housing help",(401) 414-5465,(401) 942-7867,,https://www.bhlink.org/, ,"Behavioral health crisis assessment, substance use treatment navigation, recovery support, and recovery housing screening.",Call BH Link for behavioral health access. Call 942-STOP for state-funded recovery housing screening.,BH Link access is available regardless of insurance. Recovery housing assistance has income and residency rules.,,Rhode Island BHDDH,"BH Link is available 24 hours a day, 7 days a week.",2026-08-03,https://www.bhlink.org/
RI003,Rhode Island,Statewide,,Rhode Island Behavioral Health Open Beds,Live treatment and recovery bed locator,"People seeking detox, residential treatment, crisis stabilization, or recovery housing",,,,https://www.ribhopenbeds.org/, ,Live or frequently updated bed availability for behavioral health and substance use programs.,Search the site and contact the listed program directly.,,,"Rhode Island Department of Behavioral Healthcare, Developmental Disabilities and Hospitals",Bed counts change quickly. Confirm by phone before traveling.,2026-08-03,https://www.ribhopenbeds.org/
RI004,Rhode Island,Statewide,,BHDDH Licensed Behavioral Health Provider List,Licensed treatment directory,People seeking licensed mental health or substance use treatment,,,,https://bhddh.ri.gov/behavioral-health/licensing-and-certification, ,Official licensing information and provider lists for mental health and substance use programs.,"Use the provider list, then contact programs directly.",,,Rhode Island BHDDH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bhddh.ri.gov/behavioral-health/licensing-and-certification
RI005,Rhode Island,Statewide,,Rhode Island Certified Community Behavioral Health Clinics,Community behavioral health,"Adults and children seeking mental health, crisis, substance use, or care coordination services",,,,https://bhddh.ri.gov/behavioral-health/certified-community-behavioral-health-clinics, ,"Mental health and substance use assessment, crisis support, outpatient care, peer services, and care coordination.",Contact the closest certified clinic.,,,Rhode Island BHDDH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bhddh.ri.gov/behavioral-health/certified-community-behavioral-health-clinics
RI006,Rhode Island,Statewide,,Rhode Island Centers of Excellence for Opioid Use Disorder,Medication and opioid treatment,People with opioid use disorder,,,,https://bhddh.ri.gov/behavioral-health/substance-useaddiction/individual-and-family-information/help-opioid-dependence, ,"Rapid access to opioid use disorder treatment, medication, care coordination, and recovery support.",Use the state list and call a Center of Excellence directly.,,Centers provide or coordinate buprenorphine and other medications for opioid use disorder.,Rhode Island BHDDH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bhddh.ri.gov/behavioral-health/substance-useaddiction/individual-and-family-information/help-opioid-dependence
RI007,Rhode Island,Statewide,,RICARES Certified Recovery Housing Directory,Certified recovery housing directory,Adults seeking certified recovery residences,,,,https://ricares.org/recovery-housing/, ,"Current directory of certified recovery residences, populations served, fees, contacts, and house levels.",Contact each residence directly for screening and current openings.,Fees vary by residence. Some residents may qualify for state-funded support through 942-STOP.,,Rhode Island Communities for Addiction Recovery Efforts,Certification does not guarantee a current opening.,2026-08-03,https://ricares.org/recovery-housing/
RI008,Rhode Island,Statewide,,"Oxford House Vacancy Locator, Rhode Island",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=RI, ,"Live vacancy search for self-run, self-supported sober homes.","Find an opening, contact the house, and arrange a resident interview.",Residents share house expenses. Amounts vary.,,"Oxford House, Inc.",Vacancies and house contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
RI009,Rhode Island,Providence area,Providence,"Butler Hospital Substance Use IOP, Providence",IOP treatment,Adults who need structured substance use treatment while living at home,(844) 401-0111,,,https://www.butler.org/services/outpatient/alcohol-and-drug-intensive-outpatient,"345 Blackstone Boulevard, Providence, RI 02906","Substance use intensive outpatient treatment with group, individual, and recovery-focused services.",Call for an assessment. Self-referral is accepted.,Accepts multiple insurance plans. Verify benefits.,,Butler Hospital and Care New England,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.butler.org/services/outpatient/alcohol-and-drug-intensive-outpatient
RI010,Rhode Island,South County,South Kingstown,"Butler Hospital Substance Use IOP, South Kingstown",IOP treatment,Adults who need structured substance use treatment while living at home,(844) 401-0111,,,https://www.butler.org/south-county-addiction-rehab,"South County Commons, South Kingstown, RI 02879",Substance use intensive outpatient treatment and recovery stabilization.,Call for assessment and scheduling.,Accepts multiple insurance plans. Verify benefits.,,Butler Hospital and Care New England,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.butler.org/south-county-addiction-rehab
RI011,Rhode Island,Providence area,Providence,Butler Hospital Alcohol and Drug Partial Hospital Program,PHP treatment,Adults needing daily structured substance use treatment without overnight hospitalization,(844) 401-0111,,,https://www.butler.org/services/partial/alcohol-and-drug-partial-program,"345 Blackstone Boulevard, Providence, RI 02906",Evidence-based partial hospitalization for substance use and co-occurring conditions.,Call for a confidential assessment.,Insurance coverage varies.,,Butler Hospital and Care New England,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.butler.org/services/partial/alcohol-and-drug-partial-program
RI012,Rhode Island,North Kingstown and statewide intake,North Kingstown,AdCare Rhode Island Outpatient and IOP,Private IOP treatment,Adults seeking outpatient or intensive outpatient substance use treatment,(866) 739-7692,(401) 294-0419,,https://adcare.com/locations/rhode-island/,"1950 Tower Hill Road, North Kingstown, RI 02852",Private outpatient and intensive outpatient addiction treatment with assessment and continuing care.,Call admissions for assessment and placement.,Commercial insurance and self-pay options. Verify network status.,,Joint Commission accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://adcare.com/locations/rhode-island/
