resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
MS001,Mississippi,Statewide,,Mississippi DMH Alcohol and Drug Services,Public treatment access,"Mississippi residents seeking prevention, assessment, treatment, or recovery services",(877) 210-8513,,,https://www.dmh.ms.gov/service-options/alcohol-and-drug-services/,,”Statewide outpatient, withdrawal management, IOP, high- and low-intensity residential, opioid treatment, and recovery support services.”,Call the DMH Helpline or use the Alcohol and Drug Services Resource Directory.,Publicly funded and sliding-fee services may be available.,,Mississippi Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.dmh.ms.gov/service-options/alcohol-and-drug-services/
MS002,Mississippi,Statewide,,Mississippi DMH Helpline,Behavioral health helpline,"People seeking mental health, substance use, or developmental-disability services",(877) 210-8513,,,https://www.dmh.ms.gov/help/,,”Information about certified providers, substance use treatment, mental health services, and grievance support.”,Call directly.,Free.,,Mississippi Department of Mental Health,"Available 24 hours a day, 7 days a week.",2026-08-07,https://www.dmh.ms.gov/help/
MS003,Mississippi,Statewide,,Mississippi Certified Provider Finder,Licensed treatment directory,People seeking DMH-certified mental health or substance use providers,,,,https://www.dmh.ms.gov/,,Search state-certified behavioral health providers and current alcohol and drug resource directories.,Use the provider finder or call the DMH Helpline.,,,Mississippi Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.dmh.ms.gov/
MS004,Mississippi,Statewide,,"Oxford House Vacancy Locator, Mississippi",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=MS,,"Live vacancy search for self-run, self-supported sober homes.",Contact a house with an opening and arrange a resident interview.,Residents share house expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-07,https://www.oxfordhouse.org/
MS005,Mississippi,Statewide,Jackson,Mississippi Department of Corrections Reentry Services,Reentry planning,People preparing for release and returning citizens,,,,https://www.mdoc.ms.gov/Inmate-Info/Pages/Reentry.aspx,,"Release planning, identification, benefits, housing, employment, education, treatment, and community transition resources.",People in custody should work with institutional reentry staff.,,,Mississippi Department of Corrections,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.mdoc.ms.gov/Inmate-Info/Pages/Reentry.aspx
MS006,Mississippi,Statewide,,Mississippi Works and WIN Job Centers,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://mdes.ms.gov/win-job-centers/,,”Job search, resumes, training, unemployment navigation, career counseling, and local WIN Job Centers.”,Find the nearest WIN Job Center.,Core job-seeker services are free.,,Mississippi Department of Employment Security,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://mdes.ms.gov/win-job-centers/
MS007,Mississippi,Statewide,,Mississippi Legal Services,Legal help directory,Low-income Mississippi residents with civil legal problems,(800) 498-1804,,,https://www.mslegalservices.org/,,”Civil legal intake and self-help information involving housing, benefits, family, consumer, disability, and employment matters.”,Call the statewide intake hotline or use the legal-help site.,Free for eligible clients.,,Mississippi civil legal aid network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.mslegalservices.org/
MS008,Mississippi,Statewide,,Mississippi Driver Service Identification Resources,Identification and documents,Mississippi residents needing a state identification card or replacement credential,,,,https://www.dps.ms.gov/driver-services,,”Driver and identification-card information, renewals, duplicates, and Driver Service Bureau locations.”,Review required documents and apply through the Driver Service Bureau.,,,Mississippi Department of Public Safety,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.dps.ms.gov/driver-services
MS009,Mississippi,Statewide,Jackson,Mississippi Food Network,Food and basic needs,People experiencing food insecurity,,,,https://www.msfoodnet.org/get-help/,,”Statewide food bank, pantry, and partner-agency referrals.”,Use the food-assistance locator or contact Mississippi Food Network.,,,Mississippi Food Network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.msfoodnet.org/get-help/
MS010,Mississippi,Statewide,,Mississippi 988 and Mobile Crisis,Mental health crisis,"Anyone experiencing mental health, substance use, or emotional crisis",988,,Text 988,https://www.dmh.ms.gov/help/,,Crisis counseling plus connection to statewide Mobile Crisis Response Teams.,Call or text 988.,Free and confidential.,,Mississippi Department of Mental Health,"988 and Mobile Crisis Response Teams are available 24 hours a day, 7 days a week.",2026-08-07,https://www.dmh.ms.gov/help/
MS011,Mississippi,North Mississippi,Etta,Oxford Treatment Center Residential Campus,Private detox and residential treatment,Adults with addiction and co-occurring needs,,,,https://oxfordtreatment.com/,,”Medical detox, residential addiction treatment, dual-diagnosis care, and transition planning.”,Call admissions for assessment and benefits verification.,Commercial insurance and self-pay.,,Joint Commission-accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://oxfordtreatment.com/
MS012,Mississippi,Oxford area,Oxford,Oxford Treatment Center Resolutions Outpatient,Private PHP and IOP,Adults seeking step-down or outpatient addiction care,,,,https://oxfordtreatment.com/locations/oxford-ms-outpatient/,,”Partial hospitalization, intensive outpatient, outpatient therapy, medication management, and holistic services.”,Call admissions for assessment and insurance verification.,Commercial insurance and self-pay.,,Joint Commission-accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://oxfordtreatment.com/locations/oxford-ms-outpatient/
MS013,Mississippi,DeSoto County,Southaven,Oxford Treatment Center Southaven Outpatient,Private PHP and IOP,Adults seeking addiction outpatient care,,,,https://oxfordtreatment.com/locations/southaven-ms/,,”Partial hospitalization, intensive outpatient, standard outpatient, and continuing care.”,Call admissions.,Commercial insurance and self-pay.,,Joint Commission-accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://oxfordtreatment.com/locations/southaven-ms/
MS014,Mississippi,Jackson metro,Brandon,Defining Wellness Centers Brandon,Private residential and PHP,Adults with substance use and co-occurring conditions,(769) 241-2041,,,https://definingwellness.com/,"3949 Highway 43 N, Brandon, MS 39047","Medically managed residential, high-intensity residential, and high-intensity outpatient or PHP treatment.",Call admissions for assessment.,Most major commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://definingwellness.com/
MS015,Mississippi,Jackson metro,Ridgeland,Defining Wellness Centers Ridgeland,Private PHP and IOP,Adults seeking substance use outpatient care,(769) 241-2041,,,https://definingwellness.com/,"411 Hanover Circle, Ridgeland, MS 39157","PHP, intensive outpatient, and outpatient therapy.",Call admissions for assessment and insurance verification.,Most major commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://definingwellness.com/
MS016,Mississippi,Oxford area,Oxford,Stonewater Adolescent Recovery Center,Private adolescent residential treatment,Teen boys ages 12 to 18 with substance use and mental health needs,(662) 373-2828,,,https://www.stonewaterrecovery.com/,"38 County Road 362, Oxford, MS 38655","Sixty- to ninety-day dual-diagnosis residential treatment, family programming, life skills, and adolescent mental health care.",Call admissions for family screening.,Private insurance and self-pay. Verify benefits.,,Private adolescent behavioral health provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.stonewaterrecovery.com/
MS017,Mississippi,Statewide remote,Oxford,Stonewater Adolescent Virtual IOP,Private virtual IOP,Male and female adolescents with substance use or mental health needs,(662) 373-2828,,,https://www.stonewaterrecovery.com/virtual-intensive-outpatient-program-iop,,"Virtual IOP with individual sessions, groups three times weekly, family sessions, and adolescent-specific recovery curriculum.",Call admissions to determine clinical appropriateness.,Private insurance and self-pay. Verify.,,Stonewater Adolescent Recovery Center,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.stonewaterrecovery.com/virtual-intensive-outpatient-program-iop
