resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
WA001,Washington,Statewide,,Washington Recovery Helpline and Apple Health SUD Treatment,Statewide treatment access,Washington residents seeking substance use treatment,1-866-789-1511,,,https://www.hca.wa.gov/free-or-low-cost-health-care/i-need-behavioral-health-support/substance-use-treatment,,Treatment referrals;Medication support;Residential recovery;Standard outpatient;Resource navigation,Call the Washington Recovery Helpline or contact a certified treatment agency.,Free navigation; treatment costs vary.,MOUD access is included in the state treatment system.,Washington Health Care Authority,Confirm provider availability directly.,2026-08-09,https://www.hca.wa.gov/free-or-low-cost-health-care/i-need-behavioral-health-support/substance-use-treatment
WA002,Washington,Statewide,,Washington HCA Recovery Residence Registry,Recovery housing directory,People seeking recovery housing in Washington,,,,https://www.hca.wa.gov/free-or-low-cost-health-care/i-need-behavioral-health-support/recovery-residences,,Recovery housing;Oxford House;Resource navigation,Use the state registry and contact residences directly.,Rates vary by home.,Listed homes allow prescribed medications including MOUD.,Washington HCA and WAQRR,Confirm current vacancy fees and house rules.,2026-08-09,https://www.hca.wa.gov/free-or-low-cost-health-care/i-need-behavioral-health-support/recovery-residences
WA003,Washington,Statewide,,Oxford House Vacancy Locator - Washington,Oxford House,Adults in recovery,800-689-6411,,,https://www.oxfordvacancies.com/,,Oxford House;Recovery housing,Contact a house with an opening and interview with residents.,Residents share house expenses.,,Oxford House Inc.,Vacancies change frequently.,2026-08-09,https://www.oxfordhouse.org/
WA004,Washington,Statewide,,Washington DOC Reentry Housing Assistance Program,Reentry housing,Eligible people releasing from Washington DOC custody,,,,https://doc.wa.gov/corrections/community-reentry/reentry-housing-assistance-program,,Transitional housing;Housing referrals;Reentry planning,Work with DOC reentry staff or a Regional Housing Specialist.,Program eligibility and funding limits apply.,,Washington Department of Corrections,Housing providers and availability change; DOC approval may apply.,2026-08-09,https://doc.wa.gov/corrections/community-reentry/reentry-housing-assistance-program
WA005,Washington,Statewide,,Washington DOC Reentry Centers,Corrections-linked transitional housing,Eligible incarcerated people nearing release,,,,https://doc.wa.gov/about-doc/locations/reentry-centers/about,,Transitional housing;Reentry planning;Employment support;Education;Treatment referrals,Referral and placement are controlled by Washington DOC.,Correctional placement.,,Washington Department of Corrections,Eligibility and bed availability apply.,2026-08-09,https://doc.wa.gov/about-doc/locations/reentry-centers/about
WA006,Washington,Statewide,,Washington DOC Substance Abuse Recovery Unit,Correctional substance use treatment,Eligible people in Washington DOC custody or reentry programs,,,,https://www.doc.wa.gov/corrections/programs/substance-abuse-treatment.htm,,Residential recovery;Partial hospitalization;Intensive outpatient;Standard outpatient;Reentry planning,Treatment placement is based on DOC assessment and eligibility.,Correctional program.,,Washington Department of Corrections,Intensive day treatment is mapped to PHP-equivalent intensity for search.,2026-08-09,https://www.doc.wa.gov/corrections/programs/substance-abuse-treatment.htm
WA007,Washington,Snohomish County,Everett,Evergreen Recovery Centers Pregnant and Parenting Women’s Residential,Women and children residential treatment,Pregnant women and women with children under age 5,425-258-2407,,,https://evergreenrc.org/pregnant-and-parenting-womens-residential-treatment/,2601 Summit Ave Everett WA 98201,Residential recovery;Medication support;Family support;Mental health support;Transportation,Call for intake screening and complete an alcohol and drug assessment.,Accepts Apple Health and private insurance; verify benefits.,MAT is allowed and transportation to methadone services is available.,Official nonprofit provider,Confirm current bed availability child age limits and transportation.,2026-08-09,https://evergreenrc.org/pregnant-and-parenting-womens-residential-treatment/
WA008,Washington,Western Washington,,Evergreen Recovery Centers Treatment Network,Substance use treatment network,Adults and families seeking substance use treatment,425-493-5310,,,https://evergreenrc.org/treatment/,,Medical detox;Residential recovery;Standard outpatient;Treatment referrals;Reentry planning,Contact the appropriate Evergreen Recovery Centers location.,Apple Health insurance and other funding vary by program.,,Official nonprofit provider,Confirm site-specific openings and level of care.,2026-08-09,https://evergreenrc.org/treatment/
WA009,Washington,Snohomish County,Edmonds,Northpoint Washington Residential Treatment,Private residential treatment,Adults appropriate for residential addiction treatment,480-751-9093,,,https://www.northpointwashington.com/,7416 212th St SW Edmonds WA 98026,Medical detox;Residential recovery;Mental health support;Treatment referrals,Call admissions for assessment and insurance verification.,Insurance and self-pay vary.,,Joint Commission accredited,Confirm current admissions phone payer participation and openings.,2026-08-09,https://www.jointcommission.org/en-us/accreditation/behavioral-health-care-and-human-services/provider-locator/609577
WA010,Washington,Seattle and Everett,,The Evergreen at Northpoint PHP and IOP,PHP and IOP,Adults appropriate for structured outpatient addiction treatment,480-751-9093,,,https://www.northpointwashington.com/,,Partial hospitalization;Intensive outpatient;Standard outpatient;Mental health support,Call admissions for assessment and current location availability.,Insurance and self-pay vary.,,Joint Commission accredited,Confirm current outpatient schedule and openings.,2026-08-09,https://www.jointcommission.org/en-us/accreditation/behavioral-health-care-and-human-services/provider-locator/609577
