resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
AZ001,Arizona,Statewide,,211 Arizona Reentry Services,Employment and workforce,"Arizona residents seeking community resources, including people returning from incarceration.",211,,,https://211arizona.org/help/legal-and-criminal-justice/reentry-services/,,Resource navigation;Housing referrals;Treatment referrals;Employment support;Legal assistance,Dial 211 or use the online directory.,Free,,211 Arizona,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://211arizona.org/help/legal-and-criminal-justice/reentry-services/
AZ002,Arizona,Statewide,,Arizona Department of Corrections Community Reentry,Reentry planning,People preparing for release from Arizona correctional custody or under community supervision.,602-771-5500,,,https://corrections.az.gov/office-deputy-directors/deputy-director-oddo/education-programs-and-community-reentry/community,,Reentry planning;Housing referrals;Employment support;Mental health support;Treatment referrals,Use ADCRR community reentry staff and office information for referrals and eligibility.,,,"Arizona Department of Corrections, Rehabilitation and Reentry","Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://corrections.az.gov/office-deputy-directors/deputy-director-oddo/education-programs-and-community-reentry/community
AZ003,Arizona,Maricopa County,Phoenix,Maricopa Reentry Center,Transitional housing,Eligible ADCRR participants referred through correctional or community supervision processes.,602-771-5500,,,https://corrections.az.gov/community-reentry-offices,"24601 N 29th Ave, Phoenix, AZ 85027",Transitional housing;Reentry planning;Mental health support;Treatment referrals,Placement is controlled by ADCRR referral and eligibility requirements.,,,"Arizona Department of Corrections, Rehabilitation and Reentry","Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://corrections.az.gov/community-reentry-offices
AZ004,Arizona,Pima County,Tucson,Pima Reentry Center,Transitional housing,Eligible ADCRR participants and supervised individuals referred through the department.,602-771-5500,,,https://corrections.az.gov/community-reentry-offices,"1275 W Starr Pass Blvd, Tucson, AZ 85713",Transitional housing;Reentry planning;Housing referrals,Placement is controlled by ADCRR referral and eligibility requirements.,,,"Arizona Department of Corrections, Rehabilitation and Reentry","Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://corrections.az.gov/community-reentry-offices
AZ005,Arizona,Statewide,,Arizona DES Reentry Employment Services,Employment and workforce,Arizona job seekers with criminal justice involvement or other barriers to employment.,,,,https://des.az.gov/services/employment/reentry-services,,Employment support;Job readiness;Career navigation,Use the state reentry employment page to connect with ARIZONA@WORK services.,Free,,Arizona Department of Economic Security,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://des.az.gov/services/employment/reentry-services
AZ006,Arizona,Statewide,,AHCCCS Substance Use Treatment Locator,Treatment and recovery,Arizona residents seeking substance use treatment or behavioral health services.,,,,https://www.azahcccs.gov/Members/BehavioralHealthServices/OpioidUseDisorderAndTreatment/Locating_Treatment.html,,Treatment referrals;Medication support;Mental health support,Use the state locator or listed access providers for assessment and treatment placement.,,,Arizona Health Care Cost Containment System,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.azahcccs.gov/Members/BehavioralHealthServices/OpioidUseDisorderAndTreatment/Locating_Treatment.html
AZ007,Arizona,Statewide,,Arizona Licensed Sober Living Home Directory,Recovery housing,Adults seeking licensed sober living in Arizona.,,,,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=SOBER,,Recovery housing;Resource navigation,Search the directory and contact individual homes for screening and openings.,,,Arizona Department of Health Services,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://hsapps.azdhs.gov/ls/sod/Provider.aspx?ProviderName=SOBER
AZ008,Arizona,Statewide,,Arizona Recovery Housing Association Certified Home Search,Recovery housing,Adults seeking certified recovery housing in Arizona.,,,,https://www.myazrha.org/azrha-certified-home-search,,Recovery housing;Resource navigation;Reentry planning,Search the certified home directory and contact operators directly for screening and availability.,,,Arizona Recovery Housing Association,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.myazrha.org/azrha-certified-home-search
AZ009,Arizona,Statewide,,Oxford House Vacancy Locator Arizona,Oxford House,Adults in recovery seeking peer run sober housing.,800-689-6411,,,https://www.oxfordvacancies.com/?state=AZ,,Oxford House;Recovery housing,"Use the vacancy locator, contact a house with an opening and arrange a resident interview.",Residents share house expenses,,Oxford House Inc.,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.oxfordhouse.org/
AZ010,Arizona,Multiple Arizona locations,Phoenix,The Forest Sober Living Arizona,Recovery housing,Adults seeking structured sober living; individual home criteria vary.,602-600-6417,,,https://theforestsoberliving.org/locations/,"Phoenix, AZ",Recovery housing;Peer support,"Contact The Forest for screening, gender specific placement, fees and current openings.",,,The Forest Sober Living,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://theforestsoberliving.org/locations/
