resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
WY001,Wyoming,Statewide,,Wyoming 211 Community Resource Navigation,Resource navigator,Anyone in Wyoming seeking community resources,211,1-888-425-7138,Text ZIP to 898211,https://search.wyoming211.org/,,Resource navigation;Housing referrals;Treatment referrals;Employment support;Food assistance,Call 211 text or search online.,Free.,,Wyoming 211,Confirm current program details directly with referred providers.,2026-08-09,https://wyoming211.org/forms/contact-us/
WY002,Wyoming,Statewide,,Wyoming Behavioral Health Division Substance Use Treatment,Public behavioral health access,Wyoming residents seeking behavioral health or substance use treatment,307-777-6494,,,https://health.wyo.gov/behavioralhealth/mhsa/,,Treatment referrals;Standard outpatient;Resource navigation,Use the state provider search or contact the Behavioral Health Division.,Medicaid Medicare private insurance and other funding may apply.,,Wyoming Department of Health,Confirm current provider availability directly.,2026-08-09,https://search.wyoming211.org/search/40fe3160-101a-5637-834c-0b0c7deab84d
WY003,Wyoming,Statewide,,Wyoming Certified Substance Use Provider Search,Certified provider directory,People seeking certified substance use treatment providers,,,,https://bhms.health.wyo.gov/provider-public-search,,Resource navigation;Treatment referrals,Search by service provider or location and contact providers directly.,Costs vary by provider.,,Wyoming Department of Health,Provider acceptance status and certification dates can change.,2026-08-09,https://bhms.health.wyo.gov/provider-public-search
WY004,Wyoming,Natrona County,Casper,Wyoming Recovery Casper Campus,Detox residential PHP and IOP,Adults seeking addiction treatment,307-265-3791,,,https://wyomingrecovery.com/,231 S Wilson St Casper WY 82601,Medical detox;Residential recovery;Partial hospitalization;Intensive outpatient;Standard outpatient;Mental health support,Call admissions or apply for admission.,Insurance and self-pay vary.,,State-licensed and Joint Commission accredited,Confirm current payer participation and level-of-care openings.,2026-08-09,https://www.jointcommission.org/en-us/accreditation/behavioral-health-care-and-human-services/provider-locator/222908/717968
WY005,Wyoming,Laramie County,Cheyenne,Cheyenne Regional Medical Center Addiction IOP,Hospital-based IOP,Adults appropriate for structured outpatient addiction treatment,307-633-7370,,,https://www.cheyenneregional.org/service/behavioral-health-services/outpatient-behavioral-health/,2600 E 18th St Cheyenne WY 82001,Intensive outpatient;Standard outpatient;Mental health support;Medication support,Call outpatient behavioral health for screening and scheduling.,Most insurance plans accepted; verify benefits.,Medication support based on clinical need.,Hospital system,Confirm current SUD group schedule and admission criteria.,2026-08-09,https://www.cheyenneregional.org/service/behavioral-health-services/outpatient-behavioral-health/
WY006,Wyoming,Sweetwater County,Rock Springs,Southwest Counseling Women’s Addiction Program,Women and children residential treatment,Pregnant women and mothers meeting residential substance use criteria,,,,https://swcounseling.org/services/substance-use-disorders/,,Residential recovery;Family support;Mental health support;Parenting support,Contact Southwest Counseling Service for assessment and bed availability.,Public funding Medicaid insurance and self-pay may vary.,,Official provider,Confirm current child age limits bed availability and payer arrangements.,2026-08-09,https://swcounseling.org/services/substance-use-disorders/
WY007,Wyoming,Central Wyoming,,Central Wyoming Counseling Center Residential Recovery,Residential treatment and family services,Adults seeking substance use treatment including eligible mothers with children,,,,https://cwcc.us/addiction-services/,,Residential recovery;Medication support;Standard outpatient;Peer support;Case management;Family support,Contact CWCC for assessment and program availability.,Insurance Medicaid and other funding vary.,MAT available based on clinical need.,Official provider,Confirm residential location child eligibility and MAT details.,2026-08-09,https://cwcc.us/addiction-services/
WY008,Wyoming,Laramie County,Cheyenne,Recover Wyoming Recovery Community Center,Peer recovery support,People in recovery and their families or allies,307-421-7261,,,https://www.recoverwyoming.org/,1017 E Lincolnway Cheyenne WY 82001,Peer support;Resource navigation;Family support,Call or visit the recovery center.,Many peer-support services are free.,,Recovery Community Organization,Confirm current meeting and coaching schedules.,2026-08-09,https://www.recoverwyoming.org/
WY009,Wyoming,Natrona County,Casper,Hope House Casper Sober Reentry Housing,Sober reentry housing,Formerly incarcerated and recovery-minded men,,,,https://hopehousecasper.org/,,Recovery housing;Reentry planning;Peer support,Contact Hope House for application screening and openings.,Resident fees and requirements vary.,,Official nonprofit provider,Confirm current vacancy fees medication policy and house requirements.,2026-08-09,https://hopehousecasper.org/
WY010,Wyoming,Statewide,,Wyoming DOC Adult Community Corrections,Corrections-linked transitional housing,Eligible people under Wyoming DOC or court supervision,307-237-6233,,,https://corrections.wyo.gov/services-and-programs/adult-community-corrections,,Transitional housing;Reentry planning;Case management;Employment support;Treatment referrals,Placement is controlled through Wyoming DOC courts or the Board of Parole.,Correctional placement.,,Wyoming Department of Corrections,Facilities operate in Casper Cheyenne and Gillette; eligibility applies.,2026-08-09,https://corrections.wyo.gov/services-and-programs/adult-community-corrections
WY011,Wyoming,Statewide,,Wyoming DOC Reentry and Offender Resources,Reentry planning,People preparing to release from Wyoming DOC custody,307-777-3775,,,https://corrections.wyo.gov/services-and-programs/reentry-and-offender-resources,,Reentry planning;Housing referrals;Employment support;Treatment referrals;Identification help;Case management,Work with institutional reentry staff or community supervision.,Public correctional service.,,Wyoming Department of Corrections,Confirm current referral process and local resources.,2026-08-09,https://corrections.wyo.gov/services-and-programs/reentry-and-offender-resources
WY012,Wyoming,Statewide,,Wyoming Treatment and Diversion Courts,Court-supervised treatment,People whose legal involvement is tied to substance use or mental health needs,,,,https://www.wyocourts.gov/treatment-and-diversion-courts/,,Treatment referrals;Legal assistance;Reentry planning;Case management,Contact the appropriate local court or legal team for eligibility.,Public court program.,,Wyoming Judicial Branch,Court eligibility and program availability vary by jurisdiction.,2026-08-09,https://www.wyocourts.gov/treatment-and-diversion-courts/
WY013,Wyoming,Statewide,,Wyoming Plans of Safe Care,Pregnancy and family support,Pregnant people and families affected by prenatal substance use,,,,https://dfs.wyo.gov/services/wyoming-plans-of-safe-care/,,Family support;Treatment referrals;Case management;Resource navigation,Connect through participating health child welfare or community partners.,Publicly supported program.,,Wyoming Department of Family Services,Program coordinates supports for pregnant people and substance-exposed infants.,2026-08-09,https://dfs.wyo.gov/services/wyoming-plans-of-safe-care/
