resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
AL001,Alabama,Statewide,,Alabama Department of Mental Health Provider Directory,Licensed provider directory,"People seeking mental health, substance use, crisis, or developmental disability services",(800) 367-0955,(334) 242-3454,,https://mh.alabama.gov/providers-search/,,Search more than 600 certified community-provider locations by service and county.,"Filter by Substance Use Disorder and location, then contact providers.",,,Alabama Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://mh.alabama.gov/providers-search/
AL002,Alabama,Statewide,,Alabama Substance Use Service Provider Map,Treatment directory,People seeking state-certified substance use services,,,,https://mh.alabama.gov/substance-use-disorder-service-provider-map/,,Map of state-certified substance use treatment providers.,Search by location and contact providers directly.,,,Alabama Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://mh.alabama.gov/substance-use-disorder-service-provider-map/
AL003,Alabama,Statewide,,Alabama State-Funded Substance Use Services,Public treatment access,People needing low-cost or publicly funded treatment,(800) 367-0955,,,https://mh.alabama.gov/division-of-mental-health-substance-abuse-services/substance-abuse-treatment-services/,,Assessment and connection to outpatient and residential state-contracted treatment providers.,Contact a certified provider for screening and assessment.,"State-funded providers use income-based sliding fees, often low or no cost.",,Alabama Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://mh.alabama.gov/division-of-mental-health-substance-abuse-services/substance-abuse-treatment-services/
AL004,Alabama,Statewide,,Connect Alabama Behavioral Health App and Resource Line,Behavioral health navigation,Alabama residents seeking mental health or substance use help,(800) 367-0955,,,https://mh.alabama.gov/connect-alabama/,,"Behavioral health resources, provider search, crisis information, and service navigation.",Use the app or call ADMH.,Free resource navigation.,,Alabama Department of Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://mh.alabama.gov/connect-alabama/
AL005,Alabama,Statewide,,Alabama Alliance for Recovery Residences,Certified recovery housing directory,Adults seeking NARR-aligned recovery residences,,,,https://aarr.org/,,Certification and directory information for Alabama recovery residences.,Use the member directory and contact residences directly.,,,Alabama NARR affiliate,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://aarr.org/
AL006,Alabama,Statewide,,"Oxford House Vacancy Locator, Alabama",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=AL,,Live vacancy search for self-run sober homes.,Contact a house with an opening and arrange an interview.,Residents share household expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
AL007,Alabama,Statewide,Montgomery,Alabama Bureau of Pardons and Paroles Reentry Services,Reentry planning,People on supervision and returning citizens,(334) 242-8700,,,https://paroles.alabama.gov/,,"Supervision, reentry referrals, employment, housing, treatment, and community resources.",Contact the local field office or supervising officer.,,,Alabama Bureau of Pardons and Paroles,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://paroles.alabama.gov/
AL008,Alabama,Statewide,,Alabama Career Center System,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://www.labor.alabama.gov/careercenters/,,"Job search, resumes, training, apprenticeships, unemployment help, and career-center services.",Find the nearest Alabama Career Center.,Core services are free.,,Alabama Department of Labor,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.labor.alabama.gov/careercenters/
AL009,Alabama,Statewide,,Legal Services Alabama,Legal help,Low-income Alabama residents with civil legal problems,(866) 456-4995,,,https://legalservicesalabama.org/,,"Civil legal aid involving housing, benefits, family, consumer, and employment matters.",Call or apply online.,Free for eligible clients.,,Legal Services Corporation-funded nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://legalservicesalabama.org/
AL010,Alabama,Statewide,,Alabama ALEA Non-Driver Identification Card,Identification and documents,,,,,https://www.alea.gov/dps/driver-license/non-driver-identification-card,,"Non-driver ID requirements, fees, replacements, and driver-license-office information.",Review required documents and apply at an ALEA office.,,,Alabama Law Enforcement Agency,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.alea.gov/dps/driver-license/non-driver-identification-card
