resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
UT001,Utah,Statewide,,Utah 211 Substance Use and Community Resources,Resource navigator,Anyone in Utah seeking community resources,211,,,https://211utah.org/substance-use-misuse-resources/,,Resource navigation;Housing referrals;Treatment referrals;Employment support;Food assistance,Call 211 or search online.,Free.,,Utah 211,Confirm current program details directly with referred providers.,2026-08-09,https://211utah.org/substance-use-misuse-resources/
UT002,Utah,Statewide,,Utah SUMH Public Substance Use Treatment Access,Public behavioral health access,Utah residents seeking publicly funded or county-based treatment,,,,https://sumh.utah.gov/services/treatment/substance-use-disorder/,,Treatment referrals;Resource navigation;Standard outpatient;Intensive outpatient;Residential recovery;Peer support,Use the county treatment authority or provider search.,Public funding and Medicaid options vary by county.,,Utah DHHS,Confirm provider openings and payer rules directly.,2026-08-09,https://sumh.utah.gov/services/treatment/substance-use-disorder/
UT003,Utah,Statewide,,Utah Licensed Recovery Residence and Treatment Facility Search,Licensed recovery housing directory,People seeking licensed recovery housing or residential treatment,,,,https://dlbc.utah.gov/information-for-the-public/find-a-facility/,,Recovery housing;Resource navigation;Residential recovery,Search licensed programs and contact the provider directly.,Rates vary by provider.,,Utah DHHS licensing,Confirm current license status medication policy fees and vacancies.,2026-08-09,https://dlbc.utah.gov/information-for-the-public/find-a-facility/
UT004,Utah,Statewide,,Oxford House Vacancy Locator - Utah,Oxford House,Adults in recovery,800-689-6411,,,https://www.oxfordvacancies.com/,,Oxford House;Recovery housing,Contact a house with an opening and interview with residents.,Residents share house expenses.,,Oxford House Inc.,Vacancies change frequently.,2026-08-09,https://www.oxfordhouse.org/
UT005,Utah,Salt Lake County,Salt Lake City,Huntsman Mental Health Institute Addiction Recovery Services,Hospital addiction treatment,Adults seeking addiction treatment,801-583-2500,801-587-3235,,https://healthcare.utah.edu/hmhi/treatments/addiction-recovery,South Salt Lake and Salt Lake City UT,Medical detox;Intensive outpatient;Standard outpatient;Medication support;Mental health support;Family support,Call Addiction Recovery Services or Recovery Works IOP for assessment.,Insurance and self-pay vary.,Medication treatment is available.,University of Utah Health academic medical center,Confirm current openings and payer requirements.,2026-08-09,https://healthcare.utah.edu/hmhi/treatments/addiction-recovery
UT006,Utah,Salt Lake County,Salt Lake City,University of Utah SUPeRAD Pregnancy and Addiction Clinic,Pregnancy addiction medicine,People planning pregnancy pregnant or within one year postpartum,801-213-2995,,,https://healthcare.utah.edu/locations/hospital/pregnancy/substance-use,50 N Medical Dr Salt Lake City UT 84132,Medication support;Standard outpatient;Mental health support;Family support;Treatment referrals,Call the clinic for intake and scheduling.,Insurance and payment vary.,Medication treatment available based on clinical need.,University of Utah Hospital,Pregnancy and postpartum eligibility applies.,2026-08-09,https://healthcare.utah.edu/locations/hospital/pregnancy/substance-use
UT007,Utah,Salt Lake County,Salt Lake City,Odyssey House Parents with Children Residential,Residential treatment and family housing,Pregnant people and parents with children newborn through age 11,801-322-3222,,,https://www.odysseyhouse.org/services/parent-with-children-residential,42 S 500 E Salt Lake City UT 84102,Residential recovery;Partial hospitalization;Recovery housing;Family support;Mental health support,Call admissions for assessment and bed availability.,Multiple funding sources Medicaid and low-cost options may apply.,,Official nonprofit provider,Confirm child-age limits openings and funding.,2026-08-09,https://www.odysseyhouse.org/services/parent-with-children-residential
UT008,Utah,Salt Lake County,,Odyssey House Adult Outpatient and IOP,IOP and outpatient treatment,Adults seeking outpatient substance use treatment,801-322-3222,,,https://www.odysseyhouse.org/services/adult-outpatient,,Intensive outpatient;Standard outpatient;Family support;Mental health support,Call admissions for assessment and program placement.,Medicaid insurance county funding and sliding-scale options may apply.,,Official nonprofit provider,Confirm current schedule and payer details.,2026-08-09,https://www.odysseyhouse.org/services/adult-outpatient
UT009,Utah,Salt Lake County,,Odyssey House Transitional and Sober Housing,Transitional and sober housing,People appropriate for Odyssey housing programs,801-322-3222,,,https://www.odysseyhouse.org/directory,,Transitional housing;Recovery housing;Reentry planning,Contact Odyssey House admissions or housing staff.,Program-specific fees and funding vary.,,Official nonprofit provider,Confirm whether housing requires treatment enrollment and current vacancy.,2026-08-09,https://www.odysseyhouse.org/directory
UT010,Utah,Salt Lake County,Salt Lake City,First Step House Treatment and Recovery Residences,Residential treatment and recovery housing,Adults meeting program criteria,801-359-8862,,,https://firststephouse.org/treatment/,440 S 500 E Salt Lake City UT 84102,Residential recovery;Standard outpatient;Recovery housing;Employment support;Reentry planning;Peer support,Contact treatment or housing admissions.,Medicaid Medicare VA county funding and sliding-scale assistance may apply.,,Official nonprofit provider,Confirm current recovery-residence openings and referral requirements.,2026-08-09,https://firststephouse.org/treatment/
UT011,Utah,Statewide,,Utah DOC Community Correctional Centers,Corrections-linked transitional housing,Eligible people on Utah probation or parole,,,,https://corrections.utah.gov/inmate-services/reentry-and-rehabilitation/community-correctional-centers/,,Transitional housing;Reentry planning;Treatment referrals;Employment support,Placement is controlled through Adult Probation and Parole.,Correctional placement.,,Utah Department of Corrections,Correctional eligibility and bed availability apply.,2026-08-09,https://corrections.utah.gov/inmate-services/reentry-and-rehabilitation/community-correctional-centers/
UT012,Utah,Salt Lake County,Salt Lake City,Orange Street Women’s Community Correctional Center,Women-specific reentry housing,Eligible women being paroled through Utah DOC,801-596-6300,801-596-6311,,https://corrections.utah.gov/inmate-services/reentry-and-rehabilitation/community-correctional-centers/orange-street-community-correctional-center/,80 S Orange Street Salt Lake City UT 84116,Transitional housing;Reentry planning;Treatment referrals;Employment support;Mental health support,Placement is arranged through Utah DOC and Adult Probation and Parole.,Correctional placement.,,Utah Department of Corrections,Women-specific correctional reentry program.,2026-08-09,https://corrections.utah.gov/inmate-services/reentry-and-rehabilitation/community-correctional-centers/orange-street-community-correctional-center/
UT013,Utah,Statewide,,Utah Medicaid Justice-Involved Reentry Program,Medicaid reentry support,Eligible justice-involved Medicaid participants within the pre-release coverage window,,,,https://medicaid.utah.gov/programs-and-services/justiceinvolved/,,Medication support;Standard outpatient;Reentry planning;Housing referrals;Case management,Services are coordinated through participating correctional facilities and Medicaid partners.,Medicaid program.,MAT is included among covered pre-release services.,Utah Medicaid,Eligibility and facility participation apply.,2026-08-09,https://medicaid.utah.gov/programs-and-services/justiceinvolved/
