resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
IN001,Indiana,Statewide,,Indiana 211,Resource navigator,"Anyone seeking housing, treatment, shelter, food, transportation, employment, or community services",211,(866) 211 9966,Text ZIP code to 898211,https://www.in.gov/fssa/indiana-211/, ,"Connects callers to local housing, shelter, treatment, recovery, food, utility, and reentry resources.",Call or text a ZIP code and describe the caller's needs.,,,Indiana Family and Social Services Administration,Available statewide. Local program openings and eligibility vary.,2026-08-02,https://www.in.gov/fssa/indiana-211/
IN002,Indiana,Statewide,,INconnect Addiction Services Search,Treatment and recovery housing directory,People seeking addiction treatment or recovery housing in Indiana,,,,https://secure.in.gov/apps/fssa/providersearch/home/category/as,,State provider search for addiction services and recovery housing options.,"Search by location and service, then contact the provider directly.",,,Indiana Family and Social Services Administration,Listings do not guarantee an immediate opening.,2026-08-02,https://secure.in.gov/apps/fssa/providersearch/home/category/as
IN003,Indiana,Statewide,Indianapolis,Indiana Affiliation of Recovery Residences,Recovery housing directory and oversight,People seeking designated recovery residences and providers seeking certification information,(317) 638 3501 ext. 1019,,,https://inarr.org/,"1431 North Delaware Street, Indianapolis, IN 46202","Recovery residence locator, standards, education, and certification support.",Use the locator or call for help identifying designated recovery residences.,,,Indiana NARR affiliate,INARR does not operate every residence. Contact individual houses for openings.,2026-08-02,https://inarr.org/contact-us/
IN004,Indiana,Statewide,,Indiana Recovery Works,Justice involved recovery support,Uninsured or underinsured Indiana residents involved with the criminal justice system,,,,https://www.in.gov/fssa/dmha/recovery-works/, ,"Funding and access pathway for treatment and recovery support, including eligible recovery residences.",Eligibility generally involves criminal justice involvement and being uninsured or underinsured. Begin through a participating provider or Indiana 211.,,,Indiana Division of Mental Health and Addiction,Funding and provider participation are subject to program rules.,2026-08-02,https://www.in.gov/fssa/dmha/recovery-works/
IN005,Indiana,Statewide,,"Oxford House Vacancy Locator, Indiana",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=IN, ,"Live vacancy locator and online application for self supporting, substance free Oxford Houses.","Call the listed house contact for an interview, or submit the online application.",Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Use the live locator because vacancies and contact numbers change frequently.,2026-08-02,https://www.oxfordhouse.org/
IN006,Indiana,Statewide,,Indiana DOC Reentry Services,Reentry resource directory,People preparing to return from incarceration and formerly incarcerated Indiana residents,,,,https://www.in.gov/idoc/divisions/re-entry/, ,"Reentry planning, employment resources, skills training, community transition, and links to local support.",People currently incarcerated should work with unit staff or a reentry coordinator. Released residents can use the linked resources and Indiana 211.,,,Indiana Department of Correction,Housing placements are program and county specific.,2026-08-02,https://www.in.gov/idoc/divisions/re-entry/
IN007,Indiana,Fort Wayne,Fort Wayne,"Freedom House, Inc.",Recovery residence,"Men, confirm with provider",(260) 456 8097,,,https://www.freedomhouseinc.com/,"806 Walnut Street, Fort Wayne, IN 46802",Recovery residence and structured recovery support. Exact services vary by provider.,"Call the provider directly for screening, fees, medication policy, and current openings.",,,Listed by Indiana DMHA as a Recovery Works recovery residence provider,Call to confirm current provider status and vacancy.,2026-08-02,https://www.in.gov/fssa/dmha/recovery-works/recovery-works-providers/recovery-residences/
IN008,Indiana,Butler,Butler,Inspiration Ministries,Recovery residence,"Adults in recovery, confirm with provider",(260) 226 2347,,,https://www.inspiration-ministries.org/,"111 South Broadway Street, Butler, IN 46721",Recovery residence and structured recovery support. Exact services vary by provider.,"Call the provider directly for screening, fees, medication policy, and current openings.",,,Listed by Indiana DMHA as a Recovery Works recovery residence provider,Call to confirm current provider status and vacancy.,2026-08-02,https://www.in.gov/fssa/dmha/recovery-works/recovery-works-providers/recovery-residences/
IN009,Indiana,Fort Wayne,Fort Wayne,The Potter's Recovery House,Recovery residence,"Adults in recovery, confirm with provider",(260) 420 2548,,,https://the-potter-house.com/,"419 East Lewis Street, Fort Wayne, IN 46802",Recovery residence and structured recovery support. Exact services vary by provider.,"Call the provider directly for screening, fees, medication policy, and current openings.",,,Listed by Indiana DMHA as a Recovery Works recovery residence provider,Call to confirm current provider status and vacancy.,2026-08-02,https://www.in.gov/fssa/dmha/recovery-works/recovery-works-providers/recovery-residences/
IN010,Indiana,Fort Wayne,Fort Wayne,The Shepherd's House,Recovery residence,"Men and veterans, confirm with provider",(260) 424 2500,,,https://www.in.gov/fssa/dmha/recovery-works/recovery-works-providers/recovery-residences/,"519 Tennessee Avenue, Fort Wayne, IN 46805",Recovery residence and structured recovery support. Exact services vary by provider.,"Call the provider directly for screening, fees, medication policy, and current openings.",,,Listed by Indiana DMHA as a Recovery Works recovery residence provider,Call to confirm current provider status and vacancy.,2026-08-02,https://www.in.gov/fssa/dmha/recovery-works/recovery-works-providers/recovery-residences/
