resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
DE001,Delaware,Statewide,,Delaware 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, transportation, employment, or community services",211,(800) 560-3372,Text ZIP code to 898211,https://delaware211.org/,,"Statewide referrals for basic needs, shelter, treatment, mental health, legal help, and employment.","Call, text, chat, or search online.",Free.,,Delaware 211,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://delaware211.org/
DE002,Delaware,Statewide,,Delaware Hope Line,Substance use treatment access line,People seeking publicly funded addiction treatment or recovery help,(833) 946-7333,,,https://www.helpisherede.com/,,"Treatment navigation, assessment referrals, and connection to publicly funded addiction programs.",Call directly.,Free treatment may be available for people without adequate insurance.,,Delaware Division of Substance Abuse and Mental Health,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.helpisherede.com/
DE003,Delaware,Statewide,,Delaware Publicly Funded Addiction Treatment Programs,Treatment and recovery directory,People without insurance or whose insurance does not fully cover needed addiction care,(833) 946-7333,,,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/publicly-funded-addiction-treatment-programs/,,"Official list of bridge clinics, withdrawal management, residential, outpatient, IOP, medications, and certified recovery residences.","Call the Hope Line, a Bridge Clinic, or a listed program.",Free state-funded care may be available based on eligibility.,,Delaware DSAMH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/publicly-funded-addiction-treatment-programs/
DE004,Delaware,Statewide,,Treatment Connection Delaware,Licensed treatment search,People with insurance seeking addiction or mental health providers,,,,https://www.treatmentconnection.com/,,"Search treatment providers by location, service, and insurance.",Search and contact a provider directly.,,,Delaware DSAMH referral partner,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.treatmentconnection.com/
DE005,Delaware,New Castle County,New Castle,Fernhook Building Bridge Clinic,Same-day addiction bridge clinic,"Adults needing rapid substance use assessment, medication, or treatment connection",(302) 288-0230,,,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/,"14 Central Avenue, New Castle, DE 19720","Same-day assessment, short-term outpatient treatment, counseling, peer support, care coordination, and buprenorphine linkage.",Call or visit during clinic hours.,Publicly funded access available.,Same or next-day buprenorphine may be available.,Delaware DSAMH,Open daily from 8:00 AM to 11:30 PM according to the state directory.,2026-08-03,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/
DE006,Delaware,New Castle County,New Castle,Hope Center Bridge Clinic,Same-day addiction bridge clinic,Adults needing rapid substance use assessment and linkage,(302) 544-6815,,,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/,"365 Airport Road, New Castle, DE 19720","Assessment, counseling, peer support, care coordination, and treatment linkage.",Call or visit during clinic hours.,Publicly funded access available.,,Delaware DSAMH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/
DE007,Delaware,Kent County,Dover,James W. Williams State Service Center Bridge Clinic,Same-day addiction bridge clinic,Adults needing rapid substance use assessment and treatment connection,(302) 857-5060,,,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/,"805 River Road, 3rd Floor, Dover, DE 19901","Assessment, brief outpatient support, peer services, medication linkage, and treatment coordination.",Call or visit during weekday clinic hours.,,,Delaware DSAMH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/
DE008,Delaware,Sussex County,Georgetown,Thurman Adams State Service Center Bridge Clinic,Same-day addiction bridge clinic,Adults needing rapid substance use assessment and treatment connection,(302) 515-3310,,,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/,"546 South Bedford Street, Georgetown, DE 19947","Assessment, brief treatment, peer support, medication linkage, and care coordination.",Call or visit during weekday clinic hours.,,,Delaware DSAMH,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dhss.delaware.gov/dsamh/division-of-substance-abuse-and-mental-health/bridge-clinics/
DE009,Delaware,Statewide,,Delaware 211 Legal Help,Legal help directory,Delaware residents seeking civil legal help,211,,Text ZIP code to 898211,https://delaware211.org/resources/legal-aid/,,"Connections to tenant, disability, family, employment, immigration, and other civil legal services.",Call 211 or use the online legal resource page.,Referral is free. Provider eligibility varies.,,Delaware 211,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://delaware211.org/resources/legal-aid/
DE010,Delaware,Statewide,,Delaware 211 Emergency Housing and Shelter,Emergency housing,Individuals and families experiencing homelessness or housing crisis,211,(800) 560-3372,,https://delaware211.org/resources/emergency-shelter/,,"Emergency shelter, coordinated entry, rental assistance, and housing referrals.",Call 211 for current shelter and coordinated entry options.,,,Delaware 211,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://delaware211.org/resources/emergency-shelter/
DE011,Delaware,Statewide,Dover,Delaware Department of Correction Reentry Services,Reentry planning,People preparing to leave correctional custody and returning citizens,(302) 739-5601,,,https://doc.delaware.gov/,"245 McKee Road, Dover, DE 19904","Release planning, treatment, housing, employment, supervision, benefits, identification, and community referrals.",People in custody should work with reentry staff. Community members may call DOC.,,,Delaware Department of Correction,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://doc.delaware.gov/
DE012,Delaware,Statewide,,Delaware Department of Labor American Job Centers,Employment and training,"Job seekers, returning citizens, veterans, and employers",(302) 761-8085,,,https://labor.delaware.gov/divisions/employment-training/,,"Job search, resumes, training, apprenticeships, unemployment navigation, and employer connections.",Call or find a Delaware American Job Center.,Core services are free.,,Delaware Department of Labor,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://labor.delaware.gov/divisions/employment-training/
