resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
NC001,North Carolina,Statewide,,NC 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, transportation, employment, or community services",211,(888) 892-1162,,https://nc211.org/, ,"Free confidential statewide referrals for housing, food, treatment, legal, employment, transportation, and basic needs.",Call or search online.,Free.,,United Way of North Carolina,"Available 24 hours a day, 7 days a week, 365 days a year.",2026-08-03,https://nc211.org/
NC002,North Carolina,Statewide,,NCDHHS LME and Tailored Plan Access,Public behavioral health access,North Carolina residents seeking publicly funded mental health or substance use treatment,(800) 662-7030,,,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/substance-use-disorders, ,"Connection to local managed-care entities for assessment, crisis, outpatient, residential, and recovery services.",Find the organization managing care in the county and call its access line.,Medicaid and state-funded services may be available.,,North Carolina DHHS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/substance-use-disorders
NC003,North Carolina,Statewide,,NCDHHS Licensed Mental Health and Substance Use Facilities,Licensed facility directory,"People seeking licensed residential, day, detox, SAIOP, SACOT, opioid treatment, or crisis facilities",,,,https://info.ncdhhs.gov/dhsr/mhlcs/facilities.html, ,Official downloadable directory of licensed behavioral health residential and day facilities.,Download the sortable facility list and contact providers.,,,North Carolina Division of Health Service Regulation,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://info.ncdhhs.gov/dhsr/mhlcs/facilities.html
NC004,North Carolina,Statewide,,North Carolina Open Access and Walk-In Clinics,Same-day behavioral health access,Adults and adolescents needing same-day mental health or substance use assessment,,,,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services/open-access-walk-clinics, ,County-by-county walk-in assessment and connection to the appropriate level of care.,Find the clinic serving the county and walk in during listed hours.,Public funding and Medicaid options vary.,,North Carolina DHHS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services/open-access-walk-clinics
NC005,North Carolina,Statewide,,North Carolina Behavioral Health Central Availability Navigator,Crisis and treatment availability,"People and referring facilities seeking crisis, detox, withdrawal, inpatient, or residential availability",,,,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services/behavioral-health-statewide-central-availability-navigator, ,"Statewide availability information for crisis centers, non-hospital detox, inpatient withdrawal, and residential services.",Use the statewide navigator or call the local managed-care organization.,,,North Carolina DHHS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services/behavioral-health-statewide-central-availability-navigator
NC006,North Carolina,Statewide,,North Carolina Association of Recovery Residences Member Homes,Certified recovery housing directory,Adults seeking NARR-aligned recovery residences,,,,https://ncarr.org/member-homes/, ,"Directory of Level 1 through Level 4 recovery residences with population, location, phone, and contact details.",Contact homes directly for screening and vacancy.,,,"NCARR, North Carolina NARR affiliate","Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://ncarr.org/member-homes/
NC007,North Carolina,Statewide,,"Oxford House Vacancy Locator, North Carolina",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=NC, ,Live vacancy search for self-run sober homes.,Contact a house with an opening and arrange an interview.,Residents share house expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
NC008,North Carolina,Statewide,Raleigh,North Carolina DAC Reentry Toolkit,Reentry planning,"Justice-involved people, families, and returning citizens",,,,https://www.dac.nc.gov/reentry-toolkit-building-blocks-successful-transition, ,"Housing, employment, driver-license restoration, identification, health, benefits, family, and community resources.",Use the online toolkit. People in custody should work with reentry staff.,,,North Carolina Department of Adult Correction,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.dac.nc.gov/reentry-toolkit-building-blocks-successful-transition
NC009,North Carolina,Statewide,,NCWorks Career Centers,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",(855) 629-6757,,,https://www.ncworks.gov/, ,"Job search, resumes, training, apprenticeships, unemployment navigation, and local career centers.",Create an NCWorks account or visit a career center.,Core job-seeker services are free.,,North Carolina workforce system,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.ncworks.gov/
NC010,North Carolina,Statewide,,Legal Aid of North Carolina,Legal help,Low-income North Carolina residents with civil legal problems,(866) 219-5262,,,https://legalaidnc.org/apply/, ,"Civil legal help involving housing, benefits, family, consumer, employment, and record-related barriers.",Call the helpline or apply through JusticeHub.,Free for eligible clients.,,Legal Services Corporation-funded nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://legalaidnc.org/apply/
