resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
MA001,Massachusetts,Statewide,,Mass 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, transportation, childcare, or community services",211,(877) 211 6277,,https://www.mass211.org/, ,"Confidential statewide referrals for housing, shelter, food, utilities, behavioral health, transportation, legal help, and other needs.",Call or search online.,,,Mass 211 and United Way,"Available 24 hours a day, 7 days a week.",2026-08-03,https://www.mass211.org/
MA002,Massachusetts,Statewide,,Massachusetts Substance Use Helpline,Substance use helpline,"People seeking treatment, recovery support, harm reduction, or family guidance",(800) 327 5050,,Text HOPE to 800327,https://helplinema.org/, ,"Free confidential treatment and recovery navigation, including residential care and recovery support.","Call, text, or use the online search.",Free.,,Massachusetts Bureau of Substance Addiction Services,"Available 24 hours a day, 7 days a week.",2026-08-03,https://helplinema.org/
MA003,Massachusetts,Statewide,,Massachusetts Behavioral Health Help Line,Mental health and substance use support,"Anyone seeking mental health or substance use care, regardless of insurance",(833) 773 2445,,,https://www.masshelpline.com/, ,"Clinical support, crisis guidance, and connection to mental health and substance use services.",Call or use online chat. Insurance is not required.,Free.,,Massachusetts Executive Office of Health and Human Services,"Available 24 hours a day, 7 days a week.",2026-08-03,https://www.masshelpline.com/
MA004,Massachusetts,Statewide,Brockton,Massachusetts Alliance for Sober Housing,Recovery housing directory,Adults seeking certified sober homes,(781) 472 2624,,,https://mashsoberhousing.org/certified-residences/, ,"Directory of MASH certified sober homes, standards, complaints, and provider information.",Use the directory and contact each home directly.,,,Massachusetts NARR affiliate,Certification does not guarantee a current vacancy.,2026-08-03,https://mashsoberhousing.org/certified-residences/
MA005,Massachusetts,Statewide,,"Oxford House Vacancy Locator, Massachusetts",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=MA,,Live vacancy search and application pathway for self supporting sober homes.,Contact a house with an opening and arrange a resident interview.,Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Use the live locator because vacancies and contacts change.,2026-08-03,https://www.oxfordhouse.org/
MA006,Massachusetts,Greater Boston,Chelsea,Oxford House Hooper Street,Oxford House,"Men in recovery, confirm current house population",(617) 466 0929,,,https://www.oxfordvacancies.com/?state=MA,"Hooper Street, Chelsea, MA",Self supporting sober living and peer accountability.,Call the house for an interview and current vacancy.,Residents share household expenses.,,"Oxford House, Inc.","Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.masssoberhousing.org/oxford-houses
MA007,Massachusetts,Plymouth County,Plymouth,Oxford House Westwood Road,Oxford House,"Adults in recovery, confirm current house population",(508) 747 7291,,,https://www.oxfordvacancies.com/?state=MA,"Westwood Road, Plymouth, MA",Self supporting sober living and peer accountability.,Call the house for an interview and current vacancy.,Residents share household expenses.,,"Oxford House, Inc.","Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.masssoberhousing.org/oxford-houses
MA008,Massachusetts,Hampden County,Springfield,Oxford House Bay Street,Oxford House,"Adults in recovery, confirm current house population",(413) 858 8122,,,https://www.oxfordvacancies.com/?state=MA,"Bay Street, Springfield, MA",Self supporting sober living and peer accountability.,Call the house for an interview and current vacancy.,Residents share household expenses.,,"Oxford House, Inc.","Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.masssoberhousing.org/oxford-houses
MA009,Massachusetts,Statewide,Milford,Massachusetts Department of Correction Reentry Services,Reentry planning,People preparing to leave Massachusetts Department of Correction custody,(508) 422 3416,,,https://www.mass.gov/info-details/reentry-planning,"50 Maple Street, Milford, MA 01757","Housing, health care continuity, treatment, employment, benefits, probation and parole coordination, identification documents, and community referrals.",People in custody should work with institutional reentry staff.,,,Massachusetts Department of Correction,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mass.gov/info-details/reentry-planning
MA010,Massachusetts,Statewide,Boston,Community Justice Support Centers,Reentry services,"Justice involved adults referred through probation, parole, courts, or corrections",(617) 788 3500,,,https://www.mass.gov/community-justice-support-centers, ,"Case management, treatment, education, employment support, cognitive behavioral programming, and reentry stabilization.",Referral requirements vary. Contact the nearest center or supervising agency.,,,Massachusetts Office of Community Corrections,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mass.gov/community-justice-support-centers
MA011,Massachusetts,Statewide,,Massachusetts Legal Resource Finder,Legal help directory,Massachusetts residents seeking civil legal help,,,,https://masslrf.org/, ,"Online screening and referral to legal aid, bar association, court, and self help resources by location and legal issue.",Complete the online guided questions to receive referrals.,Referral tool is free. Provider eligibility varies.,,Massachusetts legal aid and court partner network,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://masslrf.org/
