resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
AK001,Alaska,Statewide,Anchorage,Alaska Department of Corrections Reentry Services,Reentry planning,People preparing to leave Alaska correctional custody or returning to the community.,907-269-5299,,,https://doc.alaska.gov/rehabilitation-reentry,"1815 Bragaw St, Anchorage, AK 99508",Reentry planning;Housing referrals;Employment support;Mental health support;Treatment referrals,Contact DOC reentry staff or use the linked program information.,,,Alaska Department of Corrections,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://doc.alaska.gov/rehabilitation-reentry
AK002,Alaska,Statewide,,Alaska 211,Employment and workforce,Anyone in Alaska seeking community resources.,211 | 1-800-478-2221,,,https://alaska211.org/,,Resource navigation;Housing referrals;Treatment referrals;Employment support;Food assistance;Mental health support,"Call 211, toll free, or use the online directory.",Free,,Alaska 211,"Monday to Friday 8:30 AM to 5:00 PM; closed noon to 1:00 PM Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://alaska211.org/
AK003,Alaska,Statewide,,Alaska Job Center Network,Employment and workforce,"Alaska job seekers, including people seeking employment after incarceration.",1-877-724-2539,,,https://jobs.alaska.gov/offices/,,Employment support;Job readiness;Career navigation,Use the office locator or contact the statewide number to connect with a Job Center.,Free,,Alaska Department of Labor and Workforce Development,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://jobs.alaska.gov/career-readiness.html
AK004,Alaska,Statewide,,Alaska Legal Services Corporation,Legal help,Low income and otherwise eligible Alaskans seeking civil legal help.,1-888-478-2572,,,https://www.alsc-law.org/,,Legal assistance;Resource navigation,Apply online or call for intake and eligibility screening.,Free for eligible clients,,Alaska Legal Services Corporation,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.alsc-law.org/apply/
AK005,Alaska,Statewide,,Alaska Substance Use Treatment and Recovery Information,Recovery housing,Alaska residents seeking substance use treatment or recovery support.,,,,https://health.alaska.gov/en/topics/substance-abuse/,,Treatment referrals;Residential recovery;Recovery housing;Medication support,Use the state information and linked provider resources to identify treatment options.,,,Alaska Department of Health,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://health.alaska.gov/en/education/sud-treatment-faqs/
AK006,Alaska,Anchorage,Anchorage,New Life Development Recovery Housing,Recovery housing,"Adults seeking structured recovery housing, including people using certain medications for addiction treatment.",907-531-0774,,,https://newlifeak.org/,"E 9th Ave and Bragaw St, Anchorage, AK",Recovery housing;Peer support;Housing referrals;Reentry planning,Complete the provider application and contact New Life for screening and current availability.,,"Provider states it accepts medications including methadone, Sublocade and Vivitrol.",New Life Development,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://newlifeak.org/
AK007,Alaska,Wasilla and Fairbanks,Wasilla,True North Recovery Residences,Recovery housing,Men and women in recovery who are actively participating in treatment.,907-313-1333,,,https://tnrak.org/services/,"2700 E Broadview Ave, Wasilla, AK 99654",Recovery housing;Peer support;Reentry planning,"Contact True North for screening, treatment participation requirements and current openings.",,,True North Recovery,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://tnrak.org/services/
AK008,Alaska,Anchorage area and Alaska Native community,Chugiak,Ernie Turner Center,Residential treatment,People seeking residential substance use treatment; eligibility and funding rules vary.,907-793-3200,,,https://citci.org/recovery/,"30881 Eklutna Lake Rd, Chugiak, AK 99567",Residential recovery;Peer support;Mental health support;Treatment referrals,Contact CITC Recovery Services intake for assessment and placement.,,,Cook Inlet Tribal Council,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://citci.org/recovery/
AK009,Alaska,Anchorage,Anchorage,Chanlyut House,Residential treatment,Men seeking residential recovery and reentry support; intake eligibility applies.,907-793-3200,,,https://citci.org/recovery/,"3149 Mountain View Dr, Anchorage, AK 99508",Residential recovery;Reentry planning;Employment support;Peer support,Contact CITC Recovery Services intake for assessment and placement.,,,Cook Inlet Tribal Council,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://citci.org/recovery/
AK010,Alaska,Anchorage,Anchorage,Pathway to Progress Transitional and Sober Living,Recovery housing,"People needing transitional or sober housing, including people returning from incarceration.",907-331-8908,,,https://pathway2progress.net/,"Anchorage, AK",Transitional housing;Recovery housing;Employment support;Reentry planning,Contact the program for screening and current housing availability.,,,Pathway to Progress,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://pathway2progress.net/services/
