resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
ME001,Maine,Statewide,,211 Maine,Resource navigator,"Anyone seeking housing, shelter, food, treatment, transportation, legal, employment, or community services",211,,Text ZIP code to 898211,https://211maine.org/, ,"Confidential referrals for housing, food, transportation, employment, treatment, crisis support, utilities, and other basic needs.","Call, text a ZIP code, or search online.",,,211 Maine and Maine Department of Health and Human Services,"Available 24 hours a day, 7 days a week, in multiple languages.",2026-08-03,https://211maine.org/basic-needs/
ME002,Maine,Statewide,,Maine Treatment Connection,Treatment and recovery directory,"People seeking substance use treatment, recovery support, detox, or recovery housing",,,,https://www.maine.gov/dhhs/obh/support-services/maine-treatment-connection, ,"Statewide search for substance use treatment, recovery services, and recovery housing.","Search by service and location, then contact the provider directly.",,,"Maine Department of Health and Human Services, Office of Behavioral Health","Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.maine.gov/dhhs/obh/support-services/maine-treatment-connection
ME003,Maine,Statewide,Portland,Maine Association of Recovery Residences,Recovery housing directory,Adults seeking certified recovery residences,,,,https://mainerecoveryresidences.com/find-a-residence/,"844 Stevens Avenue, Portland, ME 04103",Directory and certification information for recovery residences across Maine.,Use the residence directory and contact each home directly.,,,Maine NARR affiliate,Certification does not guarantee a current opening. Call the residence.,2026-08-03,https://mainerecoveryresidences.com/find-a-residence/
ME004,Maine,Statewide,,"Oxford House Vacancy Locator, Maine",Oxford House,"Adults in recovery, with houses serving men, women, and some parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=ME, ,"Live vacancy search and application pathway for self supporting, democratically run sober homes.","Find a house with an opening, contact the house, and arrange a resident interview.",Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Vacancies and house phone numbers change frequently. Use the live locator.,2026-08-03,https://www.oxfordhouse.org/
ME005,Maine,Statewide,,Maine Residential Treatment and Halfway House Services,Residential treatment and halfway house directory,Adults seeking licensed substance use residential treatment or halfway house services,,,,https://www.maine.gov/dhhs/obh/support-services/substance-use-disorder-services/residential-treatment, ,Information about residential rehabilitation and halfway house levels of substance use care.,Contact listed providers or Maine Treatment Connection for assessment and admission.,,,Maine Department of Health and Human Services,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.maine.gov/dhhs/obh/support-services/substance-use-disorder-services/residential-treatment
ME006,Maine,Statewide,Augusta,Maine Department of Corrections Reentry Services,Reentry planning,People preparing for release from Maine correctional facilities and returning citizens,(207) 287 2711,,,https://www.maine.gov/corrections/programs-services/reentry,"25 Tyson Drive, State House Station 111, Augusta, ME 04333","Reentry planning, housing and treatment connections, employment preparation, documents, benefits, and community referrals.",People in custody should work with facility reentry staff. Released residents may call for direction.,,,Maine Department of Corrections,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.maine.gov/corrections/programs-services/reentry
ME007,Maine,Statewide,Auburn,Maine Reentry Network,Reentry navigation and peer support,Formerly incarcerated people and their families,(207) 322 9519,,,https://www.mainereentry.org/, ,"Peer navigation, reentry support, advocacy, community referrals, and help addressing barriers after incarceration.",Call or use the website contact form.,,,Maine reentry nonprofit,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mainereentry.org/
ME008,Maine,Statewide,,Pine Tree Legal Assistance,Legal help,Low income Maine residents with civil legal problems,(207) 942 8322,,,https://www.ptla.org/contact, ,"Free civil legal assistance, including housing, benefits, consumer, family, and selected reentry related legal issues.",Call during intake hours or use the online intake information. Eligibility and case acceptance vary.,Free for eligible clients.,,Maine nonprofit legal aid provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.ptla.org/contact
ME009,Maine,Statewide,Augusta,MaineHousing,Housing assistance,"Maine residents seeking affordable housing, rental assistance, shelter, or homelessness services",(800) 452 4668,(866) 357 4853,,https://www.mainehousing.org/,"26 Edison Drive, Augusta, ME 04330","Affordable housing information, rental assistance, emergency shelter directory, energy assistance, and homelessness resources.",Call the main line or rental assistance line and use the online program directories.,,,Maine State Housing Authority,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mainehousing.org/
ME010,Maine,Statewide,,Maine CareerCenter,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",(888) 457 8883,(207) 623 7981,,https://www.mainecareercenter.gov/, ,"Job search assistance, resumes, training referrals, unemployment navigation, workshops, and employer connections.",Call or find a local CareerCenter. Many services are free.,Most core job seeker services are free.,,Maine Department of Labor,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mainecareercenter.gov/
