resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
GA001,Georgia,Statewide,,Georgia 211,Resource navigator,"Anyone seeking housing, food, treatment, employment, legal, transportation, or community services",211,,Text ZIP code and need to 898211,https://211online.unitedwayatlanta.org/, ,"Statewide referrals for housing, food, health care, treatment, employment, legal help, and emergency assistance.","Call, text, or search online.",Free.,,United Way 211 network,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://211online.unitedwayatlanta.org/
GA002,Georgia,Statewide,,Georgia DBHDD Behavioral Health Regional Services,Public behavioral health access,"Georgia residents seeking publicly funded mental health, substance use, crisis, or developmental disability services",(800) 715-4225,,,https://dbhdd.georgia.gov/be-dbhdd/be-supported/mental-health-adults, ,"Regional access to crisis, outpatient, residential, medication, peer, and community services.",Call the Georgia Crisis and Access Line or contact the regional office.,Medicaid and state-funded options may be available.,,Georgia Department of Behavioral Health and Developmental Disabilities,Georgia Crisis and Access Line is available 24 hours a day.,2026-08-03,https://dbhdd.georgia.gov/be-dbhdd/be-supported/mental-health-adults
GA003,Georgia,Statewide,,Georgia Crisis and Access Line,Mental health and substance use crisis,Anyone experiencing mental health or substance use crisis,(800) 715-4225,,,https://www.georgiacollaborative.com/providers/georgia-crisis-and-access-line-gcal/, ,"Crisis counseling, mobile crisis connection, treatment navigation, and behavioral health referrals.",Call directly.,Free.,,Georgia DBHDD,"Available 24 hours a day, 7 days a week.",2026-08-03,https://www.georgiacollaborative.com/providers/georgia-crisis-and-access-line-gcal/
GA004,Georgia,Statewide,Atlanta,GARR Recovery Residence Member Directory,Recovery housing directory,Adults seeking accredited recovery residences,(470) 970-5122,,,https://www.garronline.org/members.html,"8343 Roswell Road, Suite 267, Atlanta, GA 30350",Directory of recovery residences and residential recovery programs with contacts and populations served.,Contact listed programs directly.,,,Georgia Association of Recovery Residences,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.garronline.org/members.html
GA005,Georgia,Statewide,,"Oxford House Vacancy Locator, Georgia",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=GA, ,Live vacancy search for self-run sober homes.,Contact a house with an opening and arrange an interview.,Residents share expenses.,,"Oxford House, Inc.",Vacancies and contacts change frequently.,2026-08-03,https://www.oxfordhouse.org/
GA006,Georgia,Statewide,,THOR Transitional Housing Directory,Reentry and recovery housing directory,People under Georgia probation or parole supervision and people seeking structured or recovery housing,,,,https://dcs.georgia.gov/reentry-services/housing-programs, ,Directory of structured housing and recovery residences used for reentry planning.,Search the directory. Placement and eligibility vary by program and supervision status.,,,Georgia Department of Community Supervision,The state does not license or endorse every listed residence. Confirm current status.,2026-08-03,https://dcs.georgia.gov/reentry-services/housing-programs
GA007,Georgia,Statewide,Atlanta,Georgia Reentry Partnership Housing,Reentry housing assistance,Work-ready people approved for release who lack a valid residence plan and eligible supervised individuals,,,,https://gdc.georgia.gov/organization/about-gdc/divisions-and-org-chart/inmate-services-division/reentry-partnership-housing, ,Short-term room and food assistance through approved housing providers.,"Placement is coordinated through corrections, parole, or community supervision.",Program pays approved providers for eligible placements.,,"Georgia DOC, Pardons and Paroles, and Community Supervision","Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://gdc.georgia.gov/organization/about-gdc/divisions-and-org-chart/inmate-services-division/reentry-partnership-housing
GA008,Georgia,Statewide,,Georgia Department of Community Supervision Reentry Resource Finder,Reentry resource directory,"People on community supervision, returning citizens, and families",,,,https://dcs.georgia.gov/locations/reentry-resource, ,"Search housing, employment, treatment, food, education, medical, and community reentry resources by county.",Use the directory and contact the listed provider.,,,Georgia Department of Community Supervision,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dcs.georgia.gov/locations/reentry-resource
GA009,Georgia,Statewide,,Georgia Legal Aid Finder,Legal help,Low-income Georgia residents with civil legal problems,(833) 457-7529,(404) 524-5811,,https://www.georgialegalaid.org/find-legal-help, ,"Civil legal intake for housing, benefits, family, consumer, employment, and other priority matters.",Atlanta-area residents call Atlanta Legal Aid. Other counties call Georgia Legal Services Program.,Free for eligible clients.,,Atlanta Legal Aid Society and Georgia Legal Services Program,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.georgialegalaid.org/find-legal-help
GA010,Georgia,Statewide,,WorkSource Georgia,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://www.worksourcegaportal.com/, ,"Job search, career centers, training, apprenticeships, resumes, and employer connections.",Create an account or locate a regional WorkSource office.,Core job-seeker services are free.,,Georgia workforce system,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.worksourcegaportal.com/
GA011,Georgia,Statewide,,Georgia DDS Identification Card,Identification and documents,(678) 413-8400,,,,https://dds.georgia.gov/how-do-i-id-card, ,"State ID application requirements, fees, replacements, and customer service center locations.",Review identity and residency requirements and apply at DDS.,,,Georgia Department of Driver Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dds.georgia.gov/how-do-i-id-card
GA012,Georgia,Statewide,,Georgia Food Bank Association,Food and basic needs,,,,,https://georgiafoodbankassociation.org/find-food/, ,Regional food bank and pantry locator covering Georgia.,Use the food bank finder or call 211.,,,Georgia Food Bank Association,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://georgiafoodbankassociation.org/find-food/
GA013,Georgia,Atlanta metro,Peachtree Corners,Southeast Addiction Center Georgia PHP and IOP,Private PHP and IOP,Adults age 18 and older with addiction and dual-diagnosis needs,(888) 981-8263,(770) 217-7832,,https://southeastaddiction.com/locations/georgia/,"3260 Pointe Parkway, Suite 400, Peachtree Corners, GA 30071","Private PHP, IOP, outpatient, MAT, family program, relapse prevention, and holistic treatment.",Call for assessment and insurance verification.,"Commercial insurance, often as an out-of-network provider, and self-pay.",Medication-assisted treatment available.,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://southeastaddiction.com/locations/georgia/
GA014,Georgia,Atlanta metro,Marietta,Marietta Springs PHP and IOP,Private PHP and IOP,Adults seeking addiction and co-occurring treatment,(770) 217-7832,,,https://southeastaddiction.com/,"1000 Johnson Ferry Road, Marietta, GA 30068","High-intensity outpatient or PHP, IOP, and outpatient therapy.",Call admissions through Southeast Addiction Center.,Commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://southeastaddiction.com/
GA015,Georgia,Atlanta metro,Atlanta,Talbott Recovery Atlanta PHP,Private PHP and specialty treatment,"Adults, young adults, pilots, licensed professionals, and people with dual diagnosis",(833) 308-1400,(678) 251-3189,,https://talbottcampus.com/addiction-treatment-programs/,"5355 Hunter Road, Atlanta, GA 30349","Partial hospitalization, dual-diagnosis care, professionals programs, family therapy, and recovery residences with supervision.",Call admissions 24 hours a day.,Accepts most commercial insurance and TRICARE.,,Talbott Recovery,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://talbottcampus.com/addiction-treatment-programs/
GA016,Georgia,Atlanta metro,Dunwoody,Talbott Recovery Dunwoody Outpatient,Private IOP and outpatient,"Adults, young adults, and professionals with addiction and co-occurring conditions",(678) 251-3189,,,https://talbottcampus.com/locations/,"4480 North Shallowford Road, Suite 224, Dunwoody, GA 30338","Day, evening, young-adult, IOP, and dual-diagnosis outpatient programming.",Call admissions.,Commercial insurance and TRICARE.,,Talbott Recovery,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://talbottcampus.com/locations/
GA017,Georgia,Statesboro and statewide intake,Statesboro,Willingway Main Campus PHP and Residential,Private PHP and residential treatment,"Adults seeking addiction treatment, including veterans",(912) 207-7227,(800) 242-9455,,https://willingway.com/statesboro-ga-location/,"311 Jones Mill Road, Statesboro, GA 30458","Detox, residential, high-intensity outpatient or PHP, sober living, veterans programming, and continuing care.",Call admissions.,Commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://willingway.com/statesboro-ga-location/
GA018,Georgia,Statesboro area,Statesboro,Willingway Statesboro Outpatient,Private IOP,Adults seeking outpatient addiction care,(912) 207-7227,(912) 764-6236,,https://willingway.com/locations/,"373 Savannah Avenue, Statesboro, GA 30458","Intensive outpatient, outpatient therapy, family support, and continuing care.",Call admissions.,Commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://willingway.com/locations/
GA019,Georgia,Augusta area,Augusta,Willingway Augusta Outpatient,Private IOP,Adults seeking outpatient addiction care,(912) 207-7227,(912) 764-6236,,https://willingway.com/locations/,"1225 Augusta West Parkway, Augusta, GA 30909","Intensive outpatient, outpatient therapy, and continuing care.",Call admissions.,Commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://willingway.com/locations/
GA020,Georgia,Augusta area,Augusta,Georgia Recovery Campus Augusta,Private PHP and IOP,Adults seeking addiction outpatient treatment,(213) 610-0400,,,https://georgiarecoverycampus.com/,"602 3rd Street, Augusta, GA 30901","High-intensity outpatient or PHP, intensive outpatient, and outpatient therapy.",Call for assessment and insurance verification.,Commercial insurance and self-pay.,,Joint Commission accredited,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://georgiarecoverycampus.com/
GA021,Georgia,Atlanta metro,Smyrna,Safety Net Recovery,Private GARR recovery residence,Men and women in recovery,(770) 432-9774,,,https://safetynetrecovery.com/, ,"Structured recovery residences, accountability, life skills, and continuing care.","Call for screening, population match, fees, and vacancy.",Private-pay.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://safetynetrecovery.com/
GA022,Georgia,Atlanta metro,Smyrna,Hope Homes Recovery,Private recovery residence,Men and women in recovery,(678) 556-0840,(877) 355-1141,,https://hopehomesrecovery.org/,"1741 Spring Street, Smyrna, GA 30080","Structured recovery housing, peer support, accountability, and transition planning.",Call for screening and availability.,Private-pay.,,GARR member and parole-board approved,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://hopehomesrecovery.org/
GA023,Georgia,Atlanta metro,Atlanta,MARR Recovery Residence and Treatment,Private recovery residence and clinical care,Adults seeking long-term addiction recovery support,(678) 884-4297,,,https://www.marrinc.org/, ,"Gender-specific residential recovery, extended care, clinical programming, family support, and continuing care.",Call admissions for assessment.,Private insurance and self-pay. Verify.,,Georgia recovery and treatment provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.marrinc.org/
GA024,Georgia,Atlanta metro,Atlanta,Gilgal Women's Recovery Program,Women's recovery residence,Women experiencing addiction and homelessness,(404) 305-8007,,,https://womenofgilgal.org/,"Atlanta, GA","Long-term residential recovery, workforce support, life skills, and transitional services.",Call or apply through the website.,Nonprofit program. Ask about participant costs.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://womenofgilgal.org/
GA025,Georgia,Albany area,Albany,GraceWay Recovery Residence,Women's recovery residence,Women seeking long-term recovery housing,(229) 446-4550,,,https://gracewayrecovery.com/,"412 West Tift Avenue, Albany, GA 31701","Women's long-term recovery residence, peer support, structured programming, and family services.",Call for screening and availability.,Private-pay and scholarship options may vary.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://gracewayrecovery.com/
GA026,Georgia,South Georgia,Alapaha,Penfield Christian Homes South Campus,Men's residential recovery,Men seeking faith-based residential recovery,(229) 543-0003,,,https://penfieldrecovery.com/,"15320 Highway 129, Alapaha, GA 31622","Residential recovery, counseling, faith-based support, work and life skills.",Call admissions.,Ask about fees and funding.,,"GARR member, DCH licensed, and parole-board approved","Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://penfieldrecovery.com/
GA027,Georgia,South Georgia,Adel,Open Door Christian Homes,Men's recovery residence,Men in recovery,(229) 686-0643,,,https://opendoorrecovery.com/,"176 Debbie Drive, Adel, GA 31620","Faith-based residential recovery, accountability, work, and community support.",Call for screening and availability.,Ask about fees.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://opendoorrecovery.com/
GA028,Georgia,Augusta area,Augusta,Stepping Stones to Recovery,Men's residential recovery,Men seeking structured addiction recovery,(706) 733-1935,,,https://www.steppingstonestorecovery.net/,"2610 Commons Boulevard, Augusta, GA 30909","Residential recovery, counseling, peer support, life skills, and reentry connections.",Call for screening and availability.,Ask about fees and public funding.,,GARR member and parole-board approved,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.steppingstonestorecovery.net/
GA029,Georgia,Atlanta metro,Atlanta,Trinity Community Ministries Trinity House,Men's reentry and recovery housing,"Men experiencing homelessness, incarceration, and addiction",(404) 222-0553,,,https://www.tcmatlanta.org/,"21 Bell Street, Atlanta, GA 30303","Transitional housing, addiction recovery, case management, employment, and community reintegration.",Call for intake.,Nonprofit program. Ask about participant costs.,,GARR member and parole-board approved,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.tcmatlanta.org/
GA030,Georgia,Atlanta metro,Atlanta,Transition House,Recovery and transitional housing,Men and women seeking recovery and reentry support,(404) 815-1535,,,https://transition-house.org/,"970 Martin Luther King Jr. Drive, Suite 300, Atlanta, GA 30314","Transitional housing, recovery support, employment, case management, and reintegration.",Call for intake.,Ask about fees and funding.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://transition-house.org/
GA031,Georgia,Kennesaw area,Kennesaw,The Phoenix House at SOAR Georgia,Women's recovery residence,Women in recovery,(678) 480-4275,,,https://soargeorgia.com/,"432 Darter Drive, Kennesaw, GA 30144","Women's structured recovery residence, accountability, and peer support.",Call for screening and vacancy.,Private-pay.,,GARR member,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://soargeorgia.com/
GA032,Georgia,Statewide,,Georgia Attorney General Recovery Residence Consumer Guidance,Recovery housing safety and complaint resource,People comparing recovery residences or concerned about patient brokering or unsafe housing,(404) 651-8600,(800) 869-1123,,https://consumer.georgia.gov/recovery-residences-halfway-houses-0, ,"Consumer guidance about recovery residences, patient brokering, THOR, GARR, and complaint options.",Review the guidance before choosing housing. Report suspected illegal referral payments to authorities.,Free consumer information.,,Georgia Attorney General Consumer Protection Division,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://consumer.georgia.gov/recovery-residences-halfway-houses-0
