resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
CO001,Colorado,Statewide,,211 Colorado,Employment and workforce,Colorado residents seeking community resources.,211 | 866-760-6489 | Text ZIP code to 898-211,,,https://www.211colorado.org/,,Resource navigation;Housing referrals;Employment support;Legal assistance;Treatment referrals;Food assistance,"Call 211, use the toll free number, text a ZIP code or search online.",Free,,211 Colorado,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.211colorado.org/
CO002,Colorado,Statewide,,WAGEES Community Reentry Partners,Reentry planning,People returning from Colorado correctional custody and other justice involved residents served by partner organizations.,,,,https://cdoc.colorado.gov/parole-and-re-entry-services/community-based-services/wagees-and-community-partners,,Reentry planning;Housing referrals;Employment support;Treatment referrals;Resource navigation,Use the WAGEES partner list to connect with a community reentry provider.,Free services through funded partners,,Colorado Department of Corrections,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://cdoc.colorado.gov/parole-and-re-entry-services/community-based-services/wagees-and-community-partners
CO003,Colorado,Statewide,,Colorado Certified Recovery Residence Directory,Recovery housing,Adults seeking certified recovery housing in Colorado.,,,,https://carrcolorado.org/certified-recovery-residences/,,Recovery housing;Resource navigation,Search the certified residence list and contact each operator for screening and openings.,,,Colorado Agency for Recovery Residences,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://carrcolorado.org/certified-recovery-residences/
CO004,Colorado,Statewide,,Oxford House Vacancy Locator Colorado,Oxford House,Adults in recovery seeking peer run sober housing.,,,,https://www.oxfordhouseco.org/,,Oxford House;Recovery housing,Use the Colorado Oxford House site and vacancy search to contact homes with openings.,Residents share house expenses,,Oxford House Colorado,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.oxfordhouseco.org/
CO005,Colorado,Statewide,,Oxford House Colorado Reentry Program,Oxford House,Men and women in recovery reentering the community after incarceration and meeting Oxford House requirements.,,,,https://www.oxfordhouseco.org/ohc-re-entry,,Oxford House;Recovery housing;Reentry planning,Follow the reentry program process and contact Oxford House Colorado for eligibility and placement.,Residents share house expenses; assistance may vary,,Oxford House Colorado,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.oxfordhouseco.org/ohc-re-entry
CO006,Colorado,Multiple Colorado communities,Aurora,Hazelbrook Sober Living,Recovery housing,"Adults seeking structured recovery housing, including people preparing to reenter from incarceration.",303-800-7009,,,https://hazelbrooksoberliving.com/,"14109 E Exposition Ave, Aurora, CO 80012",Recovery housing;Peer support;Reentry planning,"Apply online or contact Hazelbrook for screening, fees and current openings.",,,Hazelbrook,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://hazelbrooksoberliving.com/
CO007,Colorado,Colorado Springs,Colorado Springs,Chance Homes,Recovery housing,Adults seeking structured recovery housing; screening and house placement apply.,719-999-5935,,,https://www.mychancehomes.com/,"815 E Platte Ave, Colorado Springs, CO 80903",Recovery housing;Peer support;Employment support;Reentry planning,"Contact Chance Homes for intake, eligibility and current openings.","Low cost options, scholarships and vouchers may be available",,Chance Homes,"24 hours support Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.mychancehomes.com/
CO008,Colorado,Fort Collins and Loveland,Fort Collins,Purpose House Sober Living,Recovery housing,Men seeking sober living who can commit to at least 90 days and meet program requirements.,970-217-1225,,,https://www.purposehousesoberliving.com/,"Fort Collins and Loveland, CO",Recovery housing;Peer support,"Contact Purpose House for screening, fees and current openings.",,,Purpose House,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.purposehousesoberliving.com/our-homes.html
CO009,Colorado,Colorado Springs,Colorado Springs,Step Springs,Recovery housing,Men seeking structured recovery housing; criminal history is considered case by case.,719-715-2880,,,https://stepsprings.org/,"4525 Northpark Dr, Colorado Springs, CO",Recovery housing;Residential recovery;Employment support;Peer support,Apply through the provider and complete screening.,No initial cost reported by provider; fees begin after employment and should be confirmed,,Step Springs,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://stepsprings.org/
CO010,Colorado,Fort Collins,Fort Collins,The Vine House Recovery Program,Recovery housing,"Women in recovery, including mothers with children, who meet sobriety and program requirements.",,,,https://www.thevinehouse.net/,"North Fort Collins, CO",Recovery housing;Peer support;Family support,"Apply online, complete a phone interview, in person interview and background check, then complete orientation if accepted.",$775 monthly program fee plus intake and security fees according to current provider page; confirm before applying,Provider states applicants must be sober and has specific medication and testing requirements; review directly before referral.,The Vine House,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.thevinehouse.net/requirements
