resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
VA001,Virginia,Statewide,,211 Virginia,Resource navigator,"Anyone seeking housing, food, treatment, employment, legal, transportation, or community services",211,(800) 230-6977,Text CONNECT to 247211,https://211virginia.org/, ,"Free confidential referrals for housing, food, health care, substance use, legal, employment, transportation, and reentry resources.","Call, text, chat, or search online.",Free.,,Virginia Department of Social Services partner and 211 network,"Available 24 hours a day, 7 days a week, 365 days a year.",2026-08-03,https://211virginia.org/
VA002,Virginia,Statewide,,Virginia Community Services Board Locator,Public behavioral health access,"Virginia residents seeking public mental health, substance use, crisis, or developmental disability services",,,,https://dbhds.virginia.gov/community-services-boards-csbs/, ,"Local assessment, outpatient treatment, crisis services, medication support, case management, and referrals.",Find the CSB serving the county or city and call its intake line.,"Public funding, Medicaid, sliding-scale, and insurance options vary.",,Virginia DBHDS,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://dbhds.virginia.gov/community-services-boards-csbs/
VA003,Virginia,Statewide,,Virginia Approved Treatment Provider Directory,Licensed treatment directory,"People seeking assessment, outpatient, DUI-related, or addiction treatment",,,,https://vasap.virginia.gov/treatmentdirectory-2/, ,Directory of state-approved treatment providers that meet Virginia licensure and training requirements.,Open the provider list and contact programs directly.,,,Commission on Virginia Alcohol Safety Action Program,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://vasap.virginia.gov/treatmentdirectory-2/
VA004,Virginia,Statewide,,DBHDS Certified Recovery Residences,Certified recovery housing directory,Adults seeking legally certified recovery residences,(804) 786-3921,,,https://dbhds.virginia.gov/information-for-providers-about-recovery-residences/, ,Official state certification information and lists for recovery residences.,Review the certified list and contact operators directly.,,,Virginia DBHDS,Virginia requires certification for recovery residences operating in coordination with state agencies. Confirm vacancy directly.,2026-08-03,https://dbhds.virginia.gov/information-for-providers-about-recovery-residences/
VA005,Virginia,Statewide,Richmond,Virginia Association of Recovery Residences Directory,Certified recovery housing directory,Adults seeking VARR-accredited recovery residences,(804) 593-1360,,,https://varronline.org/accredited-residences-2/, ,"Statewide directory of accredited recovery residence operators with population, MAT, and contact details.",Contact the listed operator for screening and openings.,Recovery residences are self-pay and not covered by insurance.,,"VARR, Virginia NARR affiliate","Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://varronline.org/accredited-residences-2/
VA006,Virginia,Statewide,,"Oxford House Vacancy Locator, Virginia",Oxford House,"Adults in recovery, with gender-specific houses and some parent-and-child houses",(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=VA, ,"Live vacancy locator for self-run, self-supported sober homes.",Contact a house with an opening and arrange a resident interview.,Residents share house expenses.,,"Oxford House, Inc.",Vacancies and house phone numbers change frequently.,2026-08-03,https://www.oxfordhouse.org/
VA007,Virginia,Statewide,Richmond,Virginia Department of Corrections Reentry Resources,Reentry planning,"People preparing to leave correctional custody, people on supervision, and returning citizens",(804) 674-3000,,,https://vadoc.virginia.gov/inmates-and-supervisees/reentry-resources/,"P.O. Box 26963, Richmond, VA 23261","Identification, housing, employment, benefits, substance use, family, and community-supervision resources.",People in custody should work with reentry staff. Community members may use the resource packet or call VADOC.,,,Virginia Department of Corrections,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://vadoc.virginia.gov/inmates-and-supervisees/reentry-resources/
VA008,Virginia,Statewide,Richmond,Virginia Works Job Seeker Services,Employment and training,"Job seekers, returning citizens, veterans, people with disabilities, and employers",(804) 486-2500,,,https://virginiaworks.gov/im-a-job-seeker/,"P.O. Box 25519, Richmond, VA 23260","Job search, career centers, training, apprenticeships, veteran support, and fair-chance career tools.",Use the local-center finder or call the main office.,Core job-seeker services are free.,,Virginia Works,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://virginiaworks.gov/im-a-job-seeker/
VA009,Virginia,Central and Southern Virginia,,Virginia Legal Aid Society LawLine,Legal help,Low-income residents with civil legal problems,(866) 534-5243,(434) 528-4722,,https://www.vlas.org/contact, ,"Civil legal intake involving housing, benefits, family, consumer, and employment matters.",All applications begin through LawLine.,Free for eligible clients.,,Legal Services Corporation-funded nonprofit,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.vlas.org/contact
VA010,Virginia,Statewide,,Virginia DMV Identification Services,Identification and documents,"Virginia residents who need a state ID, replacement ID, or driver credential",(804) 497-7100,,,https://www.dmv.virginia.gov/licenses-ids/id-cards, ,"State ID application information, proof requirements, fees, renewals, replacements, and DMV locations.",Review identity and residency requirements and apply through DMV.,,,Virginia Department of Motor Vehicles,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.dmv.virginia.gov/licenses-ids/id-cards
