resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
VT001,Vermont,Statewide,,Vermont 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, transportation, benefits, or community services",211,(866) 652 4636,Text ZIP code to 898211,https://vermont211.org/, ,"Statewide information and referral for emergency housing, food, benefits, treatment, legal aid, reentry, transportation, and basic needs.","Call, text, or search online. Emergency housing intakes must be completed by phone.",,,United Ways of Vermont,Emergency housing call hours are listed on the contact page and may differ from general information hours.,2026-08-03,https://vermont211.org/contact-vermont-211/
VT002,Vermont,Statewide,,VT Helplink,Substance use helpline,"People seeking substance use treatment, recovery support, harm reduction, or family guidance",(833) 565 5465,(802) 565 5465,,https://vthelplink.org/, ,"Free confidential support and connection to substance use treatment, recovery services, and harm reduction.",Call directly or use the online chat and service search.,Free.,,Vermont Department of Health,"Available 24 hours a day, 7 days a week.",2026-08-03,https://vthelplink.org/
VT003,Vermont,Statewide,,Vermont Alliance for Recovery Residences Certified List,Recovery housing directory,People seeking certified recovery residences,,,,https://vtarr.org/certified-recovery-residences/, ,"Directory of certified recovery residences, populations served, locations, and provider contacts.",Contact each residence directly for screening and current openings.,,,Vermont NARR affiliate,A certified listing does not confirm a current vacancy.,2026-08-03,https://vtarr.org/certified-recovery-residences/
VT004,Vermont,Statewide,,"Oxford House Vacancy Locator, Vermont",Oxford House,"Adults in recovery, with houses serving men and women where available",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=VT,,Live vacancy locator and application pathway for self supporting sober homes.,Contact a house with an opening and arrange a resident interview.,Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Use the live locator because contacts and vacancies change.,2026-08-03,https://www.oxfordhouse.org/
VT005,Vermont,Statewide,Burlington,Vermont Legal Aid and Legal Services Vermont,Legal help,Low income Vermont residents with civil legal problems,(800) 889 2047,(802) 863 7153,,https://vtlawhelp.org/, ,"Legal help involving housing, benefits, health care, family, discrimination, consumer issues, and other civil matters.",Call the statewide Legal HelpLine or apply online.,Free for eligible clients.,,Vermont nonprofit legal aid organizations,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://vtlawhelp.org/
VT006,Vermont,Statewide,Montpelier,Vermont Job Centers,Employment and training,"Job seekers, veterans, youth, returning citizens, and employers",(802) 828 4000,,,https://labor.vermont.gov/workforce-development/job-centers, ,"Job search, career counseling, resume help, training referrals, apprenticeships, and unemployment navigation.",Call or find the nearest Job Center.,Core job seeker services are generally free.,,Vermont Department of Labor,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://labor.vermont.gov/workforce-development/job-centers
VT007,Vermont,Statewide,Barre,Vermont Foodbank,Food and basic needs,People experiencing food insecurity,(800) 585 2265,(802) 476 0319,,https://www.vtfoodbank.org/, ,"Food shelf locator, statewide food distribution, SNAP and benefits assistance, and partner programs.",Call or use the Find Food tool.,,,Vermont Foodbank and Feeding America,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.vtfoodbank.org/
VT008,Vermont,Multiple Vermont communities,Essex Junction,Vermont Foundation of Recovery,Recovery housing,"Adults in recovery, with residence specific populations",(802) 735 4340,,,https://www.vfor.org/,"PO Box 5490, Essex Junction, VT 05453","Certified recovery residences, peer support, structure, accountability, and community reintegration.","Call for residence locations, screening, fees, medication policy, and openings.",,,VTARR certified recovery housing provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.vfor.org/
VT009,Vermont,Lamoille County,Johnson,Jenna's Promise and Rae of Hope,Women's recovery housing and support,"Women in recovery, with program specific eligibility",(802) 343 8741,,,https://jennaspromise.org/, ,"Recovery housing, peer support, employment and community connections, and recovery programming.",Call for screening and current openings.,,,VTARR certified recovery residence provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.healthvermont.gov/alcohol-drugs/system-care-enhancement/recovery-residences
VT010,Vermont,Washington County,Barre,Good Samaritan Haven Emergency Shelter,Emergency shelter,Homeless adults age 18 or older who meet program eligibility,(802) 341 5740,(802) 479 2294,,https://www.goodsamaritanhaven.org/programs/emergency-shelter-program/,"105 North Seminary Street, Barre, VT 05641","Emergency shelter, meals, basic needs, case management, employment and benefits support, and housing navigation.","Call the intake coordinator between 7:00 AM and 3:00 PM, Monday through Friday. Eligibility and bed availability are screened by phone.",Shelter and basic services are free.,,Central Vermont homelessness services provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.goodsamaritanhaven.org/programs/emergency-shelter-program/
VT011,Vermont,Washington County,Barre Town,Good Samaritan Haven Recovery Oriented Shelter,Recovery oriented shelter,Adults experiencing homelessness who are committed to sober living and meet shelter eligibility,(802) 341 5740,(802) 479 2294,,https://www.goodsamaritanhaven.org/programs/find-shelter/,"580 South Barre Road, Barre Town, VT","Recovery oriented shelter, sober living environment, case management, and housing support.",Call the shelter intake coordinator for eligibility and bed availability.,,,VTARR certified recovery oriented shelter,The program is described as Vermont's first recovery oriented shelter. Confirm current bed availability.,2026-08-03,https://www.goodsamaritanhaven.org/programs/find-shelter/
VT012,Vermont,Chittenden County,Burlington,Buell Street Dismas House,Reentry housing,Justice involved adults returning to the community,(802) 658 0381,,,https://www.dismasofvt.org/houses/burlington-dismas-house/overview.html,"96 Buell Street, Burlington, VT 05401","Community based transitional housing, meals, staff support, volunteers, accountability, and long term reentry support.",Download or request the Dismas residency application.,,,Dismas of Vermont and Vermont Department of Corrections partner,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.dismasofvt.org/houses/burlington-dismas-house/overview.html
VT013,Vermont,Chittenden County,Winooski,East Allen Dismas House,Reentry housing,Justice involved adults returning to the community,(802) 655 0300,,,https://www.dismasofvt.org/houses/burlington-dismas-house/overview.html,"103 East Allen Street, Winooski, VT 05404","Community based transitional housing, meals, staff support, volunteers, and reentry planning.",Download or request the Dismas residency application.,,,Dismas of Vermont and Vermont Department of Corrections partner,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.dismasofvt.org/houses/burlington-dismas-house/overview.html
VT014,Vermont,Windsor County,White River Junction,Hartford Dismas House,Reentry housing,Justice involved adults returning to the community,(802) 698 8661,,,https://www.dismasofvt.org/houses/houses.html,"Maple Street, White River Junction, VT","Transitional housing, community meals, staff and volunteer support, and reentry assistance.",Download or request the Dismas residency application.,,,Dismas of Vermont and Vermont Department of Corrections partner,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.dismasofvt.org/houses/houses.html
VT015,Vermont,Rutland County,Rutland,Rutland Dismas House,Reentry housing,Justice involved adults returning to the community,(802) 775 5539,,,https://www.dismasofvt.org/houses/houses.html,"Park Avenue, Rutland, VT","Transitional housing, community support, accountability, employment and reentry assistance.",Download or request the Dismas residency application.,,,Dismas of Vermont and Vermont Department of Corrections partner,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.dismasofvt.org/houses/houses.html
VT016,Vermont,Rutland County,Rutland,Rutland Women's Dismas House,Women's reentry housing,Justice involved women returning to the community,(802) 855 8740,,,https://www.dismasofvt.org/houses/houses.html,"Royce Street, Rutland, VT","Women specific transitional housing, community support, meals, accountability, and reentry assistance.",Download or request the Dismas residency application.,,,Dismas of Vermont and Vermont Department of Corrections partner,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.dismasofvt.org/houses/houses.html
VT017,Vermont,Caledonia and Essex Counties,St. Johnsbury,Community Restorative Justice Center Reentry Navigation,Reentry navigation,People under Vermont Department of Corrections supervision,(802) 745 1363,(802) 748 2977,,https://www.communityrjc.org/responsible-party-reentry,"576 Railroad Street, Suite 2, St. Johnsbury, VT 05819","Short term reentry navigation, referrals, resource identification, and Circles of Support and Accountability.",People under DOC supervision may self refer or be referred. Call the reentry coordinator.,,,Vermont Department of Corrections funded reentry program,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.communityrjc.org/responsible-party-reentry
VT018,Vermont,Caledonia and Essex Counties,St. Johnsbury,Community Restorative Justice Center Transitional Housing,Reentry transitional housing,Men and women released from Vermont correctional facilities,(802) 424 5582,(802) 473 8534,,https://www.communityrjc.org/transitional-housing,"576 Railroad Street, Suite 2, St. Johnsbury, VT 05819","Transitional housing, rental assistance, housing search, retention support, and reentry case coordination.",Call a housing coordinator. Program is intended for people releasing from correctional facilities.,,,Vermont Department of Corrections funded transitional housing program,The program reports five housing locations and twelve beds. Confirm current openings.,2026-08-03,https://www.communityrjc.org/transitional-housing
VT019,Vermont,Statewide,Waterbury,Vermont Department of Health Recovery Residences,Recovery housing directory,People seeking certified recovery residences and providers seeking certification information,(802) 651 1550,,,https://www.healthvermont.gov/alcohol-drugs/system-care-enhancement/recovery-residences,"280 State Drive, Waterbury, VT 05671",Official state information about certified recovery residences and recognized providers.,Review the certified providers and contact them directly.,,,Vermont Department of Health,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.healthvermont.gov/alcohol-drugs/system-care-enhancement/recovery-residences
VT020,Vermont,Statewide,,Vermont DMV Non Driver Identification Card,Identification and documents,Vermont residents who need a non driver identification card,(802) 828 2000,,,https://dmv.vermont.gov/licenses/types-of-licenses-ids/non-driver-identification, ,"Non driver ID application information, required identity and residency documents, fees, renewals, and DMV locations.",Review the document requirements and apply through the Vermont DMV.,,,Vermont Department of Motor Vehicles,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://legislature.vermont.gov/statutes/section/23/003/00115
