resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
WV001,West Virginia,Statewide,,HELP4WV,Statewide addiction and behavioral health helpline,"West Virginians seeking addiction treatment, mental health support, peer support, or recovery resources",(844) 435 7498,,Text (844) 435 7498,https://www.help4wv.com/, ,"Call, text, chat, and searchable database for addiction treatment, mental health care, peer recovery, and recovery resources.",Call or text directly. No referral is required.,,,West Virginia statewide behavioral health referral service,"Available 24 hours a day, 7 days a week, 365 days a year.",2026-08-02,https://www.help4wv.com/contact
WV002,West Virginia,Statewide,,West Virginia 211,Resource navigator,"Anyone seeking housing, shelter, food, treatment, utilities, transportation, or social services",211,(833) 848 9905,Text ZIP code to 898211,https://wv211.org/, ,"Connects callers with housing, shelter, treatment, food, financial, and other community resources.","Call, use the toll free number, or text a ZIP code.",,,West Virginia 211 and United Way,Available 24 hours a day. Local openings and eligibility vary.,2026-08-02,https://wv211.org/contact
WV003,West Virginia,Statewide,Charleston,West Virginia Alliance of Recovery Residences,Recovery housing directory,People seeking certified recovery residences and providers seeking certification information,(304) 989 0792,,,https://wvarr.org/certified-program-list/,"1116 Smith Street, Charleston, WV 25301","Searchable list of certified recovery residences with population, bed capacity, fees, medication policy, accessibility, and certification dates.",Search by area and contact each residence directly.,,,West Virginia NARR affiliate,Certification and openings change. Check the expiration date and call the residence.,2026-08-02,https://wvarr.org/certified-program-list/
WV004,West Virginia,Statewide,,Oxford House West Virginia,Oxford House,"Adults in recovery, with houses serving men and women",(304) 989 2532,(800) 689 6411,,https://www.oxfordhousewv.org/, ,"State contact, house information, reentry information, and vacancy connections for Oxford Houses.",Call the statewide contact or use the Oxford House vacancy locator and arrange a resident interview.,Residents share household expenses. Amounts vary by house.,,"Oxford House West Virginia and Oxford House, Inc.",Call for current vacancies and house specific contact information.,2026-08-02,https://www.oxfordhousewv.org/contact
WV005,West Virginia,Statewide,,Jobs and Hope West Virginia,Recovery and reentry support,People in recovery and justice impacted West Virginians seeking employment and barrier reduction support,(304) 583 4008,(833) 784 1385,,https://jobsandhope.wv.gov/, ,"Employment support, training, transportation and documentation help, treatment connections, and assistance overcoming recovery related barriers.",Call Monday through Saturday for a navigator connection.,,,State of West Virginia,Hours and specific services can vary by region.,2026-08-02,https://www.help4wv.com/jobsandhope
WV006,West Virginia,Statewide,,The REACH Initiative,Justice impacted reentry support,Justice impacted people and their families,,,,https://wvreentry.org/, ,"Reentry navigation, peer mentoring, community resource connections, and support addressing collateral consequences.",Use the website contact form or navigator email to request support.,,,West Virginia reentry nonprofit network,"This is a navigation and support resource, not a guaranteed housing placement line.",2026-08-02,https://wvreentry.org/
WV007,West Virginia,"Statewide, multiple locations",,Recovery Point West Virginia,Long term residential recovery,"Adults with substance use disorders, with location specific populations",(304) 523 4673,,,https://recoverypointwv.org/, ,No cost nonmedical detox and long term residential recovery programs at multiple West Virginia locations.,Complete the online prescreen admission request or contact the organization.,The organization states its nonmedical detox and residential recovery program is provided at no cost to participants.,,WVARR certified locations,Wait lists and population served vary by location.,2026-08-02,https://recoverypointwv.org/intake-form/
WV008,West Virginia,"Morgantown, Charleston, and connected communities",,West Virginia Sober Living,Sober living and behavioral health,"Adults in recovery, including justice impacted people depending on program",(304) 413 4300,(304) 413 4301,,https://westvirginiasoberliving.com/, ,"Sober living housing, behavioral health, peer support, accountability, and reintegration support.",Call the housing line for sober living. The secondary number is behavioral health admissions.,,,West Virginia recovery housing provider,"Call for house locations, current openings, fees, and medication policies.",2026-08-02,https://westvirginiasoberliving.com/admissions/
WV009,West Virginia,Westover,Westover,"Abundant Life Recovery Housing Network, Men's Residence",Recovery housing,Men,(304) 602 3274,,,https://wvarr.org/certified-program-list/,"8 Millan Street, Westover, WV 26501",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$125 move in fee and $555 per month in the WVARR listing,"Accepts medication for addiction treatment except Subutex, according to the WVARR listing",WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV010,West Virginia,Westover,Westover,"Abundant Life Recovery Network, Women's Residence",Recovery housing,Women,(304) 602 3274,,,https://wvarr.org/certified-program-list/,"43 Lane Street, Westover, WV 26501",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$125 move in fee and $555 per month in the WVARR listing,"Accepts medication for addiction treatment except Subutex, according to the WVARR listing",WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV011,West Virginia,Elkins,Elkins,Ally's Hope,Recovery housing,Women,(304) 614 9711,,,https://wvarr.org/certified-program-list/,"112 Robert E Lee Avenue, Elkins, WV 26241",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$475 admission fee and $475 every 30 days in the WVARR listing,Contact provider for current medication policy,WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV012,West Virginia,Fairmont,Fairmont,"Anchor Homes, Fairmont",Recovery housing,Men,(304) 241 2016,,,https://wvarr.org/certified-program-list/,"213 Locust Avenue, Fairmont, WV 26554",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$400 per month in the WVARR listing,The WVARR listing identifies selected injectable and oral medications,WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV013,West Virginia,Belle,Belle,"Anchor Homes, Belle Women's Residence",Recovery housing,Women,(304) 241 2016,,,https://wvarr.org/certified-program-list/,"101 East Dupont Avenue, Belle, WV 25015",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$400 per month in the WVARR listing,The WVARR listing identifies multiple medication options,WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV014,West Virginia,Montgomery,Montgomery,Anchor Homes Prep,Level 4 recovery residence,Men and women,(304) 241 2016,,,https://wvarr.org/certified-program-list/,"193 Fayette Pike, Montgomery, WV 25136",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,No cost in the WVARR listing,The WVARR listing identifies multiple medication options,WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
WV015,West Virginia,Danville,Danville,"Hero House, Danville",Recovery housing,Men,(304) 687 5038,,,https://wvarr.org/certified-program-list/,"6607 Price Branch Road, Danville, WV 25053",Certified recovery residence with structured sober living and recovery support.,Call the provider directly. Admission requirements vary by level and residence.,$400 per month in the WVARR listing,Selected long acting medications are identified in the WVARR listing,WVARR certified listing active or recently active when verified,"Check the WVARR listing for the current certification expiration date, then call to confirm a vacancy.",2026-08-02,https://wvarr.org/certified-program-list/
