resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
TX001,Texas,Statewide,,"Texas OSAR Outreach, Screening, Assessment and Referral",Public treatment access,"Texas residents seeking substance use assessment, treatment, or recovery support",(877) 541-7905,211,,https://www.hhs.texas.gov/services/mental-health-substance-use/adult-substance-use/outreach-screening-assessment-referral,,"Regional screening, assessment, referral, treatment placement, and recovery support navigation.",Call 211 or the statewide information line and ask for the OSAR program serving the county.,Free screening and referral. State-funded treatment may be available based on eligibility.,,Texas Health and Human Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.hhs.texas.gov/services/mental-health-substance-use/adult-substance-use/outreach-screening-assessment-referral
TX002,Texas,Statewide,,Texas HHS Substance Use Treatment Services,Public treatment and funding,"Adults, youth, pregnant or parenting women, and people who need publicly funded substance use treatment",,,,https://www.hhs.texas.gov/services/mental-health-substance-use/adult-substance-use,,"State-supported detoxification, residential, outpatient, medication, women-specific, and recovery support services.",Start with OSAR for assessment and placement.,State-funded services may be available for eligible residents.,,Texas Health and Human Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.hhs.texas.gov/services/mental-health-substance-use/adult-substance-use
TX003,Texas,Statewide,,Texas Recovery Oriented Housing Network Directory,Certified recovery housing directory,Adults seeking NARR-aligned recovery residences,,,,https://trohn.org/,,Search Texas recovery homes certified to NARR standards and use the grievance process when needed.,Search the housing directory and contact residences directly.,Fees vary by residence.,,"TROHN, Texas NARR affiliate","Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://trohn.org/
TX004,Texas,Statewide,,"Oxford House Vacancy Locator, Texas",Oxford House,Adults in recovery,(800) 689-6411,(301) 587-2916,,https://www.oxfordvacancies.com/?state=TX,,"Live vacancy locator for self-run, self-supported sober homes.",Contact a house with an opening and arrange a resident interview.,Residents share household expenses.,,"Oxford House, Inc.",Vacancies and house contacts change frequently.,2026-08-07,https://www.oxfordhouse.org/
TX005,Texas,Statewide,,Texas 211,Resource navigator,"Anyone seeking housing, food, treatment, legal, employment, transportation, or community services",211,,,https://www.211texas.org/,,"Statewide referrals for basic needs, behavioral health, housing, employment, legal help, and family services.",Call 211 or search online.,Free.,,Texas Health and Human Services 211 Texas,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.211texas.org/
TX006,Texas,Statewide,,TDCJ Reentry and Integration Services,Reentry planning,"People preparing for release, people previously incarcerated by TDCJ, and returning citizens",(877) 887-6151,,,https://www.tdcj.texas.gov/divisions/rid/index.html,,"Post-release case management, employment, food, clothing, education, health, transportation, parenting, and community referrals.",Use institutional reentry staff before release or call the Reentry Hotline after release.,Free navigation and case management for eligible participants.,,Texas Department of Criminal Justice,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.tdcj.texas.gov/divisions/rid/index.html
TX007,Texas,Statewide,,Workforce Solutions and WorkInTexas,Employment and training,"Job seekers, returning citizens, veterans, youth, and employers",,,,https://www.twc.texas.gov/services/job-search,,"Job search, resumes, training, apprenticeships, local workforce offices, and employment connections.",Create a WorkInTexas account or contact a local Workforce Solutions office.,Core job seeker services are free.,,Texas Workforce Commission,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.twc.texas.gov/services/job-search
TX008,Texas,Statewide,,TexasLawHelp,Legal help directory,Low-income Texans and people seeking civil legal information,,,,https://texaslawhelp.org/,,"Free legal information, forms, clinics, expunction resources, housing help, family law, and legal-aid referrals.",Search by legal issue or use the legal-aid and clinic tools.,Website information is free. Legal-aid eligibility varies.,,Texas Legal Services Center and statewide legal-aid partners,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://texaslawhelp.org/
TX009,Texas,Statewide,,Texas DPS Identification Card,Identification and documents,Texas residents who need a state identification card,,,,https://www.dps.texas.gov/section/driver-license/how-apply-texas-identification-card,,"State ID requirements, document checklist, appointments, replacements, and renewals.","Gather identity, residency, lawful-presence, and Social Security documentation and apply through DPS.",,,Texas Department of Public Safety,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.dps.texas.gov/section/driver-license/how-apply-texas-identification-card
TX010,Texas,Statewide,,Feeding Texas Food Bank Network,Food and basic needs,People experiencing food insecurity,,,,https://www.feedingtexas.org/food-banks/?display=all,,"Food bank and pantry connection covering all 254 Texas counties, plus SNAP and benefits assistance.",Search by ZIP code or county.,Food-bank assistance is free for eligible households.,,Feeding Texas,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-07,https://www.feedingtexas.org/food-banks/?display=all
