resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
CA001,California,Statewide,,211 California,Food and basic needs,California residents seeking community services.,211,,,https://www.211california.org/,,Resource navigation;Housing referrals;Treatment referrals;Food assistance;Mental health support,Dial 211 or use the local 211 directory.,Free,,211 California,"24 hours a day, 7 days a week Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.211california.org/
CA002,California,Most California counties,,CDCR Returning Home Well Housing,Transitional housing,Eligible people on parole who are within the program's release and referral window.,,,,https://www.cdcr.ca.gov/rehabilitation/rhwh/,,Transitional housing;Reentry planning;Housing referrals,Referral is generally made through the person's Agent of Record and regional STOP provider.,,,California Department of Corrections and Rehabilitation,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.cdcr.ca.gov/rehabilitation/rhwh/
CA003,California,Statewide,,CDCR Alternative Custody Program,Transitional housing,Eligible incarcerated people approved under CDCR Alternative Custody Program rules.,,,,https://www.cdcr.ca.gov/rehabilitation/pre-release-community-programs/alternative-custody-program/,,Transitional housing;Residential recovery;Reentry planning,Eligibility and placement are controlled by CDCR; review the official program requirements.,,,California Department of Corrections and Rehabilitation,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.cdcr.ca.gov/rehabilitation/pre-release-community-programs/alternative-custody-program/
CA004,California,Statewide,,CDCR CAL-ID Program,Reentry planning,Eligible people in CDCR institutions generally within the program's release window.,,,,https://www.cdcr.ca.gov/rehabilitation/calid/,,Identification help;Reentry planning,Work with institutional reentry staff on CAL-ID eligibility and application steps.,,,California Department of Corrections and Rehabilitation,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.cdcr.ca.gov/rehabilitation/calid/
CA005,California,Statewide,,California Reentry Employment Programs,Employment and workforce,Justice involved Californians eligible for local reentry workforce programs.,,,,https://cwdb.ca.gov/cwdb-home/our-programs/reentry-programs/,,Employment support;Job readiness;Career navigation,Use the statewide reentry program information to connect with local workforce grantees.,Free,,California Workforce Development Board,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://cwdb.ca.gov/cwdb-home/our-programs/reentry-programs/
CA006,California,Statewide,,California DHCS Substance Use Disorder Service Directories,Residential treatment,California residents seeking substance use treatment services.,,,,https://www.dhcs.ca.gov/providers-partners/directories-for-substance-use-disorder-services/,,Treatment referrals;Residential recovery;Medication support;Standard outpatient,Use the official directories or county access lines to locate treatment.,,,California Department of Health Care Services,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.dhcs.ca.gov/providers-partners/directories-for-substance-use-disorder-services/
CA007,California,Statewide,,ARCC Certified Recovery Residence Directory,Recovery housing,Adults seeking certified recovery housing in California.,,,,https://calrecovery.org/recovery-residences/,,Recovery housing;Resource navigation,Search the certified residence directory and contact operators directly for openings and intake.,,,Addiction Recovery Communities of California,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://calrecovery.org/recovery-residences/
CA008,California,Statewide,,Oxford House Vacancy Locator California,Oxford House,Adults in recovery seeking peer run sober housing.,800-689-6411,,,https://www.oxfordvacancies.com/?state=CA,,Oxford House;Recovery housing,"Use the live vacancy locator, contact a house with an opening and arrange a resident interview.",Residents share house expenses,,Oxford House Inc.,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.oxfordhouse.org/
CA009,California,Sacramento,Sacramento,Sacramento Recovery House,Residential treatment,Men seeking residential substance use recovery support.,916-455-6258,,,https://www.sacrecovery.org/,"1914 22nd St, Sacramento, CA 95816",Residential recovery;Peer support;Treatment referrals,"Contact the program for screening, funding options and current bed availability.",,,Sacramento Recovery House,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.sacrecovery.org/
CA010,California,Sacramento,Sacramento,Gateway House Sacramento,Residential treatment,Women seeking residential substance use recovery support.,916-451-9312,,,https://www.sacrecovery.org/,"Sacramento, CA",Residential recovery;Peer support;Treatment referrals,"Contact Gateway House for screening, funding options and current bed availability.",,,Sacramento Recovery House,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.sacrecovery.org/
CA011,California,San Diego,San Diego,Pacific Beach Recovery Sober Living,Recovery housing,Adults seeking structured sober living; placement requirements vary.,858-258-5909,,,https://pacificbeachsoberliving.com/soberlivingsandiego/,"2056 Oliver Ave, San Diego, CA 92109",Recovery housing;Peer support,"Contact the provider for intake, fees, medication policy and current openings.",,,Pacific Beach Recovery,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://pacificbeachsoberliving.com/soberlivingsandiego/
CA012,California,San Diego County,San Diego,Shoreline Sober Living,Recovery housing,Adults seeking structured sober living; individual home criteria vary.,858-766-1922,,,https://www.shorelinesoberliving.com/,"13334 Tiverton Rd, San Diego, CA 92130",Recovery housing;Peer support,"Contact Shoreline for screening, fees and current openings.",,,Shoreline Sober Living,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.shorelinesoberliving.com/lifestyle/
CA013,California,Santee and El Cajon,Santee,SD Sober Living,Recovery housing,Men seeking sober living in East County San Diego.,619-334-9869,,,https://www.sdsoberliving.org/locations,"East County San Diego, CA",Recovery housing;Peer support,"Contact the provider for intake, fees and current openings.",,,SD Sober Living,"Confirm current openings, fees, medication policy, supervision eligibility, and intake requirements before travel or referral.",2026-08-09,https://www.sdsoberliving.org/locations
CA014,California,San Quentin and post-release communities,San Quentin,California Reentry Program,Reentry planning,People preparing for release from San Quentin and eligible returning community members.,,,,https://www.ca-reentry.org/,"San Quentin, CA",Reentry planning;Housing referrals;Employment support;Resource navigation,Connect through the program's San Quentin services or post release support process.,Free,,California Reentry Program,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://www.ca-reentry.org/
CA015,California,Statewide,,California Free and Low Cost Legal Help,Legal help,California residents seeking civil legal help.,,,,https://selfhelp.courts.ca.gov/get-free-or-low-cost-legal-help,,Legal assistance;Resource navigation,Use the court self help page and linked legal aid directory.,Free or low cost options vary,,California Courts,"Confirm current hours, eligibility, and program details with the linked source.",2026-08-09,https://selfhelp.courts.ca.gov/get-free-or-low-cost-legal-help
