resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
OH001,Ohio,Statewide,,Ohio CareLine,Statewide helpline,Ohio residents seeking mental health or substance use support,(800) 720 9616,,,https://ohiocares.ohio.gov/, ,"Free confidential behavioral health support and connection to local services, available 24 hours a day.",Call directly. No referral is required.,,,Ohio Department of Behavioral Health,"Available 24 hours a day, 7 days a week.",2026-08-02,https://ohiocares.ohio.gov/
OH002,Ohio,Statewide,,Ohio 211,Resource navigator,"Anyone seeking housing, shelter, treatment, food, utilities, transportation, or other community services",211,(888) 644 6211,,https://ohio211.org/, ,"Connects callers with local housing, shelter, mental health, substance use, food, financial, and reentry resources.",Call and provide the caller's ZIP code and immediate needs.,,,Ohio 211 network,Call center and local resource availability can vary.,2026-08-02,https://ohio211.org/
OH003,Ohio,Statewide,,Ohio Recovery Housing Registry,Recovery housing directory,People seeking accredited recovery housing in Ohio,,,,https://rhsearch.mha.ohio.gov/, ,"Searchable registry of accredited recovery residences, including filters for county, population, accessibility, and recovery support level.",Search by location and contact each residence directly.,,,Official Ohio Department of Behavioral Health registry,"Registry data is updated regularly, but openings must be confirmed with the residence.",2026-08-02,https://rhsearch.mha.ohio.gov/
OH004,Ohio,Statewide,Columbus,Ohio Recovery Housing,Recovery housing support,People seeking help understanding certified recovery housing options,(614) 453 5133,,,https://www.ohiorecoveryhousing.org/,"200 East Campus View Boulevard, Suite 200, Columbus, OH 43235","Information about certified recovery residences, quality standards, and how to use the state locator.",Call weekdays for assistance. Office visits are by appointment.,,,Ohio affiliate of the National Alliance for Recovery Residences,"This organization certifies and supports residences, but does not operate a single statewide intake bed line.",2026-08-02,https://www.ohiorecoveryhousing.org/how-to-find-us
OH005,Ohio,Statewide,,"Oxford House Vacancy Locator, Ohio",Oxford House,"Adults in recovery, with houses serving men, women, and in some areas parents with children",(800) 689 6411,(301) 587 2916,,https://www.oxfordvacancies.com/?state=OH, ,"Live vacancy search and online application for democratically run, self supporting, substance free Oxford Houses.","Find a house with an opening, call the house contact, and arrange a resident interview.",Residents share household expenses. Amounts vary by house.,,"Oxford House, Inc.",Vacancies and house contact numbers change frequently. Use the live locator.,2026-08-02,https://www.oxfordhouse.org/
OH006,Ohio,Statewide,,Ohio DRC Halfway House Directory,Halfway house and reentry directory,"People placed through Ohio corrections, parole, probation, or approved community sanctions",,,,https://dam.assets.ohio.gov/image/upload/drc.ohio.gov/Forms/HWH_DIRECTORY_REV_2026_JANUARY.pdf, ,Official directory of Ohio Department of Rehabilitation and Correction licensed halfway house programs.,"Placement is generally coordinated through corrections, parole, probation, or an approved referring authority.",,,Ohio Department of Rehabilitation and Correction,January 2026 directory. Contact the supervising officer or listed facility for current placement rules.,2026-08-02,https://dam.assets.ohio.gov/image/upload/drc.ohio.gov/Forms/HWH_DIRECTORY_REV_2026_JANUARY.pdf
OH007,Ohio,"Brown, Butler, Hamilton, and Warren Counties",Cincinnati,Talbert House Housing Services,Recovery and transitional housing,"Men, women, adults, and families, depending on program",(513) 338 8596,,,https://www.talberthouse.org/services/housing/housing-services/, ,"Recovery housing, shelter housing, transitional housing, supportive housing, and permanent supportive housing.",Call for a housing assessment and program eligibility screening.,,,Talbert House,Housing options and openings vary by county and program.,2026-08-02,https://www.talberthouse.org/services/housing/housing-services/
OH008,Ohio,Greater Cincinnati and Southwest Ohio,Cincinnati,Talbert House Access to Services,Treatment and housing referral,"Adolescents and adults seeking addiction, mental health, housing, or court related services",(513) 221 4357,(513) 281 2273,Text TALBERT to 839863,https://www.talberthouse.org/services/addictions/addictions/, ,"Assessment, addiction treatment, crisis support, housing referrals, and court and corrections services.",Call the access line for services. The secondary number is the immediate assistance line.,,,Talbert House,"Call the access line for current walk in, telehealth, and residential options.",2026-08-02,https://www.talberthouse.org/services/addictions/addictions/
OH009,Ohio,Cincinnati,Cincinnati,VOA Cincinnati Residential Reentry Program,Halfway house and reentry,Justice involved adults referred to residential reentry,(513) 639 3743,,,https://www.voaohin.org/program-directory/,"115 West McMicken Avenue, Cincinnati, OH 45202","Residential reentry, supervision, case management, and community transition support.",Usually requires referral or placement by a corrections or justice agency.,,,Volunteers of America Ohio and Indiana,Call the facility and coordinate with the referring justice agency.,2026-08-02,https://www.voaohin.org/program-directory/
OH010,Ohio,Dayton,Dayton,VOA Dayton Residential Reentry Program,Halfway house and reentry,Justice involved adults referred to residential reentry,(937) 262 8876,,,https://www.voaohin.org/program-directory/,"1931 South Gettysburg Avenue, Dayton, OH 45417",Residential reentry and structured community transition services.,Usually requires referral or placement by a corrections or justice agency.,,,Volunteers of America Ohio and Indiana,Call or check the linked directory to confirm current openings and eligibility.,2026-08-02,https://www.voaohin.org/program-directory/
